genome_id,genome_name,species,cluster,cluster_size,genome_length,n_contigs,file,status
1280.10043,Staphylococcus aureus C00013394,Staphylococcus aureus,hc10:2712,1,2710623,36,genomes/1280.10043.fna,ok
1280.10044,Staphylococcus aureus C00013395,Staphylococcus aureus,hc10:2412,3,2748093,38,genomes/1280.10044.fna,ok
1280.10045,Staphylococcus aureus C00013396,Staphylococcus aureus,hc10:3610,1,2817009,40,genomes/1280.10045.fna,ok
1280.10046,Staphylococcus aureus C00013402,Staphylococcus aureus,hc10:2713,1,2730822,37,genomes/1280.10046.fna,ok
1280.10047,Staphylococcus aureus C00013404,Staphylococcus aureus,hc10:1200,1,2824385,48,genomes/1280.10047.fna,ok
1280.10048,Staphylococcus aureus C00013406,Staphylococcus aureus,hc10:1201,1,2718559,27,genomes/1280.10048.fna,ok
1280.10049,Staphylococcus aureus C00013408,Staphylococcus aureus,hc10:3611,1,2721152,27,genomes/1280.10049.fna,ok
1280.10948,Staphylococcus aureus strain 3688STDY6124971,Staphylococcus aureus,hc10:7269,1,2825564,29,genomes/1280.10948.fna,ok
1280.10994,Staphylococcus aureus strain 3688STDY6124848,Staphylococcus aureus,hc10:6966,1,2852478,64,genomes/1280.10994.fna,ok
1280.11011,Staphylococcus aureus strain 3688STDY6124900,Staphylococcus aureus,hc10:6651,1,2808879,30,genomes/1280.11011.fna,ok
1280.11024,Staphylococcus aureus strain 3688STDY6124922,Staphylococcus aureus,hc10:6967,1,2757615,15,genomes/1280.11024.fna,ok
1280.11026,Staphylococcus aureus strain 3688STDY6124923,Staphylococcus aureus,hc10:6968,1,2773120,35,genomes/1280.11026.fna,ok
1280.11029,Staphylococcus aureus strain 3688STDY6124926,Staphylococcus aureus,hc10:7270,1,2753867,15,genomes/1280.11029.fna,ok
1280.11030,Staphylococcus aureus strain 3688STDY6124927,Staphylococcus aureus,hc10:6652,1,2777803,24,genomes/1280.11030.fna,ok
1280.11031,Staphylococcus aureus strain 3688STDY6124929,Staphylococcus aureus,hc10:6969,1,2727678,17,genomes/1280.11031.fna,ok
1280.11032,Staphylococcus aureus strain 3688STDY6124930,Staphylococcus aureus,hc10:6970,3,2786848,20,genomes/1280.11032.fna,ok
1280.11036,Staphylococcus aureus strain 3688STDY6124933,Staphylococcus aureus,hc10:6653,1,2975321,60,genomes/1280.11036.fna,ok
1280.11038,Staphylococcus aureus strain 3688STDY6124935,Staphylococcus aureus,hc10:6654,7,2799945,29,genomes/1280.11038.fna,ok
1280.11040,Staphylococcus aureus strain 3688STDY6124937,Staphylococcus aureus,hc10:7272,1,2781417,18,genomes/1280.11040.fna,ok
1280.11043,Staphylococcus aureus strain 3688STDY6124939,Staphylococcus aureus,hc10:7273,1,2779584,33,genomes/1280.11043.fna,ok
1280.11050,Staphylococcus aureus strain 3688STDY6124879,Staphylococcus aureus,hc10:6657,1,2814778,12,genomes/1280.11050.fna,ok
1280.11150,Staphylococcus aureus strain 3688STDY6125057,Staphylococcus aureus,hc10:6660,1,2677454,8,genomes/1280.11150.fna,ok
1280.11151,Staphylococcus aureus strain 3688STDY6125107,Staphylococcus aureus,hc10:6979,1,2717207,9,genomes/1280.11151.fna,ok
1280.11152,Staphylococcus aureus strain 3688STDY6125053,Staphylococcus aureus,hc10:6661,1,2725855,16,genomes/1280.11152.fna,ok
1280.11153,Staphylococcus aureus strain 3688STDY6125103,Staphylococcus aureus,hc10:6980,1,2754821,23,genomes/1280.11153.fna,ok
1280.11154,Staphylococcus aureus strain 3688STDY6125102,Staphylococcus aureus,hc10:6981,1,2839677,32,genomes/1280.11154.fna,ok
1280.11157,Staphylococcus aureus strain 3688STDY6124950,Staphylococcus aureus,hc10:7279,1,2770625,14,genomes/1280.11157.fna,ok
1280.11158,Staphylococcus aureus strain 3688STDY6124948,Staphylococcus aureus,hc10:7274,31,2799139,32,genomes/1280.11158.fna,ok
1280.11160,Staphylococcus aureus strain 3688STDY6124928,Staphylococcus aureus,hc10:6663,1,2715862,14,genomes/1280.11160.fna,ok
1280.11161,Staphylococcus aureus strain 3688STDY6124876,Staphylococcus aureus,hc10:6982,1,2752920,13,genomes/1280.11161.fna,ok
1280.11162,Staphylococcus aureus strain 3688STDY6124918,Staphylococcus aureus,hc10:6664,1,2718062,15,genomes/1280.11162.fna,ok
1280.11165,Staphylococcus aureus strain 3688STDY6124896,Staphylococcus aureus,hc10:6984,1,2712790,18,genomes/1280.11165.fna,ok
1280.11166,Staphylococcus aureus strain 3688STDY6124894,Staphylococcus aureus,hc10:6985,1,2789271,21,genomes/1280.11166.fna,ok
1280.11168,Staphylococcus aureus strain 3688STDY6124892,Staphylococcus aureus,hc10:6667,1,2700621,19,genomes/1280.11168.fna,ok
1280.11169,Staphylococcus aureus strain 3688STDY6124891,Staphylococcus aureus,hc10:6668,1,2781043,21,genomes/1280.11169.fna,ok
1280.11171,Staphylococcus aureus strain 3688STDY6124883,Staphylococcus aureus,hc10:6987,1,2801580,23,genomes/1280.11171.fna,ok
1280.11175,Staphylococcus aureus strain 3688STDY6124853,Staphylococcus aureus,hc10:6991,1,2735970,12,genomes/1280.11175.fna,ok
1280.11176,Staphylococcus aureus strain 3688STDY6124856,Staphylococcus aureus,hc10:6992,1,2810322,31,genomes/1280.11176.fna,ok
1280.11177,Staphylococcus aureus strain 3688STDY6124851,Staphylococcus aureus,hc10:6669,1,2831546,21,genomes/1280.11177.fna,ok
1280.11178,Staphylococcus aureus strain 3688STDY6124846,Staphylococcus aureus,hc10:6670,6,2800129,30,genomes/1280.11178.fna,ok
1280.11180,Staphylococcus aureus strain 3688STDY6124828,Staphylococcus aureus,hc10:6672,1,2823960,18,genomes/1280.11180.fna,ok
1280.11181,Staphylococcus aureus strain 3688STDY6124839,Staphylococcus aureus,hc10:6673,1,2778553,9,genomes/1280.11181.fna,ok
1280.11182,Staphylococcus aureus strain 3688STDY6124822,Staphylococcus aureus,hc10:6674,1,2862279,37,genomes/1280.11182.fna,ok
1280.11183,Staphylococcus aureus strain 3688STDY6124816,Staphylococcus aureus,hc10:7282,1,2811123,9,genomes/1280.11183.fna,ok
1280.11184,Staphylococcus aureus strain 3688STDY6124813,Staphylococcus aureus,hc10:6993,1,2732658,17,genomes/1280.11184.fna,ok
1280.11189,Staphylococcus aureus strain 3688STDY6125021,Staphylococcus aureus,hc10:7285,8,2790981,24,genomes/1280.11189.fna,ok
1280.11190,Staphylococcus aureus strain 3688STDY6125017,Staphylococcus aureus,hc10:7271,2,2790540,18,genomes/1280.11190.fna,ok
1280.11191,Staphylococcus aureus strain 3688STDY6125002,Staphylococcus aureus,hc10:6676,1,2712931,17,genomes/1280.11191.fna,ok
1280.11196,Staphylococcus aureus strain 3688STDY6124987,Staphylococcus aureus,hc10:7289,1,2824777,11,genomes/1280.11196.fna,ok
1280.11197,Staphylococcus aureus strain 3688STDY6124972,Staphylococcus aureus,hc10:7290,1,2757360,18,genomes/1280.11197.fna,ok
1280.11198,Staphylococcus aureus strain 3688STDY6124969,Staphylococcus aureus,hc10:6679,1,2714509,25,genomes/1280.11198.fna,ok
1280.11200,Staphylococcus aureus strain 3688STDY6125142,Staphylococcus aureus,hc10:6995,2,2731654,16,genomes/1280.11200.fna,ok
1280.11201,Staphylococcus aureus strain 3688STDY6125056,Staphylococcus aureus,hc10:7291,1,2740067,19,genomes/1280.11201.fna,ok
1280.11204,Staphylococcus aureus strain 3688STDY6125104,Staphylococcus aureus,hc10:6996,1,2801380,36,genomes/1280.11204.fna,ok
1280.11205,Staphylococcus aureus strain 3688STDY6125101,Staphylococcus aureus,hc10:7294,1,2753286,16,genomes/1280.11205.fna,ok
1280.11207,Staphylococcus aureus strain 3688STDY6125051,Staphylococcus aureus,hc10:6997,1,2796255,28,genomes/1280.11207.fna,ok
1280.11208,Staphylococcus aureus strain 3688STDY6125050,Staphylococcus aureus,hc10:7296,1,2772624,27,genomes/1280.11208.fna,ok
1280.11209,Staphylococcus aureus strain 3688STDY6125060,Staphylococcus aureus,hc10:6681,1,2798236,11,genomes/1280.11209.fna,ok
1280.11210,Staphylococcus aureus strain 3688STDY6125049,Staphylococcus aureus,hc10:7297,1,2748176,18,genomes/1280.11210.fna,ok
1280.11211,Staphylococcus aureus strain 3688STDY6125059,Staphylococcus aureus,hc10:7298,1,2835793,19,genomes/1280.11211.fna,ok
1280.11212,Staphylococcus aureus strain 3688STDY6124880,Staphylococcus aureus,hc10:6998,1,2775071,33,genomes/1280.11212.fna,ok
1280.11215,Staphylococcus aureus strain 3688STDY6124955,Staphylococcus aureus,hc10:7301,1,3004009,40,genomes/1280.11215.fna,ok
1280.11217,Staphylococcus aureus strain 3688STDY6124947,Staphylococcus aureus,hc10:7303,2,2695670,20,genomes/1280.11217.fna,ok
1280.11218,Staphylococcus aureus strain 3688STDY6124946,Staphylococcus aureus,hc10:7304,1,2796159,31,genomes/1280.11218.fna,ok
1280.11219,Staphylococcus aureus strain 3688STDY6124945,Staphylococcus aureus,hc10:7305,1,2984688,53,genomes/1280.11219.fna,ok
1280.11220,Staphylococcus aureus strain 3688STDY6124944,Staphylococcus aureus,hc10:6682,1,2719434,19,genomes/1280.11220.fna,ok
1280.11222,Staphylococcus aureus strain 3688STDY6124942,Staphylococcus aureus,hc10:7307,1,2786000,20,genomes/1280.11222.fna,ok
1280.11223,Staphylococcus aureus strain 3688STDY6124938,Staphylococcus aureus,hc10:7308,1,3045411,52,genomes/1280.11223.fna,ok
1280.11224,Staphylococcus aureus strain 3688STDY6124932,Staphylococcus aureus,hc10:6999,1,2741155,12,genomes/1280.11224.fna,ok
1280.11225,Staphylococcus aureus strain 3688STDY6124877,Staphylococcus aureus,hc10:6683,1,2743205,18,genomes/1280.11225.fna,ok
1280.11226,Staphylococcus aureus strain 3688STDY6124925,Staphylococcus aureus,hc10:7000,1,2784752,19,genomes/1280.11226.fna,ok
1280.11229,Staphylococcus aureus strain 3688STDY6124921,Staphylococcus aureus,hc10:7001,1,2680066,8,genomes/1280.11229.fna,ok
1280.11230,Staphylococcus aureus strain 3688STDY6124920,Staphylococcus aureus,hc10:6684,1,2769195,17,genomes/1280.11230.fna,ok
1280.11231,Staphylococcus aureus strain 3688STDY6124916,Staphylococcus aureus,hc10:7002,1,2783400,15,genomes/1280.11231.fna,ok
1280.11232,Staphylococcus aureus strain 3688STDY6124912,Staphylococcus aureus,hc10:6685,1,2750451,20,genomes/1280.11232.fna,ok
1280.11233,Staphylococcus aureus strain 3688STDY6124875,Staphylococcus aureus,hc10:6686,1,2795427,17,genomes/1280.11233.fna,ok
1280.11234,Staphylococcus aureus strain 3688STDY6124911,Staphylococcus aureus,hc10:7003,1,2779010,25,genomes/1280.11234.fna,ok
1280.11235,Staphylococcus aureus strain 3688STDY6124910,Staphylococcus aureus,hc10:7004,1,2812775,13,genomes/1280.11235.fna,ok
1280.11236,Staphylococcus aureus strain 3688STDY6124906,Staphylococcus aureus,hc10:7005,1,2687092,15,genomes/1280.11236.fna,ok
1280.11238,Staphylococcus aureus strain 3688STDY6124904,Staphylococcus aureus,hc10:7309,1,2765497,16,genomes/1280.11238.fna,ok
1280.11239,Staphylococcus aureus strain 3688STDY6124903,Staphylococcus aureus,hc10:6688,1,2739185,14,genomes/1280.11239.fna,ok
1280.11241,Staphylococcus aureus strain 3688STDY6124901,Staphylococcus aureus,hc10:7310,2,2799483,33,genomes/1280.11241.fna,ok
1280.11243,Staphylococcus aureus strain 3688STDY6124899,Staphylococcus aureus,hc10:7007,1,2709736,24,genomes/1280.11243.fna,ok
1280.11244,Staphylococcus aureus strain 3688STDY6124897,Staphylococcus aureus,hc10:7311,1,2678096,9,genomes/1280.11244.fna,ok
1280.11245,Staphylococcus aureus strain 3688STDY6124895,Staphylococcus aureus,hc10:7008,1,2748329,16,genomes/1280.11245.fna,ok
1280.11248,Staphylococcus aureus strain 3688STDY6124889,Staphylococcus aureus,hc10:6689,1,2834143,11,genomes/1280.11248.fna,ok
1280.11249,Staphylococcus aureus strain 3688STDY6124888,Staphylococcus aureus,hc10:7312,1,2775700,22,genomes/1280.11249.fna,ok
1280.11254,Staphylococcus aureus strain 3688STDY6124870,Staphylococcus aureus,hc10:7013,1,2687532,20,genomes/1280.11254.fna,ok
1280.11255,Staphylococcus aureus strain 3688STDY6124869,Staphylococcus aureus,hc10:7014,2,2721409,18,genomes/1280.11255.fna,ok
1280.11257,Staphylococcus aureus strain 3688STDY6124866,Staphylococcus aureus,hc10:7016,1,2778263,22,genomes/1280.11257.fna,ok
1280.11258,Staphylococcus aureus strain 3688STDY6124865,Staphylococcus aureus,hc10:7017,1,2816131,24,genomes/1280.11258.fna,ok
1280.11259,Staphylococcus aureus strain 3688STDY6124863,Staphylococcus aureus,hc10:6690,1,2777550,23,genomes/1280.11259.fna,ok
1280.11261,Staphylococcus aureus strain 3688STDY6124861,Staphylococcus aureus,hc10:7018,1,2738662,14,genomes/1280.11261.fna,ok
1280.11262,Staphylococcus aureus strain 3688STDY6124862,Staphylococcus aureus,hc10:7019,1,2735339,12,genomes/1280.11262.fna,ok
1280.11263,Staphylococcus aureus strain 3688STDY6124860,Staphylococcus aureus,hc10:7020,1,2725902,20,genomes/1280.11263.fna,ok
1280.11264,Staphylococcus aureus strain 3688STDY6124859,Staphylococcus aureus,hc10:7021,1,2794001,13,genomes/1280.11264.fna,ok
1280.11265,Staphylococcus aureus strain 3688STDY6124858,Staphylococcus aureus,hc10:7022,1,2771338,20,genomes/1280.11265.fna,ok
1280.11266,Staphylococcus aureus strain 3688STDY6124855,Staphylococcus aureus,hc10:7023,1,2782953,28,genomes/1280.11266.fna,ok
1280.11267,Staphylococcus aureus strain 3688STDY6124854,Staphylococcus aureus,hc10:7024,1,2796177,31,genomes/1280.11267.fna,ok
1280.11270,Staphylococcus aureus strain 3688STDY6124845,Staphylococcus aureus,hc10:6692,1,2757259,12,genomes/1280.11270.fna,ok
1280.11272,Staphylococcus aureus strain 3688STDY6124844,Staphylococcus aureus,hc10:6691,3,2694758,14,genomes/1280.11272.fna,ok
1280.11273,Staphylococcus aureus strain 3688STDY6124847,Staphylococcus aureus,hc10:6694,1,2721746,15,genomes/1280.11273.fna,ok
1280.11276,Staphylococcus aureus strain 3688STDY6124840,Staphylococcus aureus,hc10:6655,11,2793558,28,genomes/1280.11276.fna,ok
1280.11278,Staphylococcus aureus strain 3688STDY6124837,Staphylococcus aureus,hc10:7313,1,2795347,42,genomes/1280.11278.fna,ok
1280.11280,Staphylococcus aureus strain 3688STDY6124836,Staphylococcus aureus,hc10:6700,1,2739546,18,genomes/1280.11280.fna,ok
1280.11281,Staphylococcus aureus strain 3688STDY6124833,Staphylococcus aureus,hc10:6983,10,2787623,27,genomes/1280.11281.fna,ok
1280.11282,Staphylococcus aureus strain 3688STDY6124832,Staphylococcus aureus,hc10:7028,1,2731838,17,genomes/1280.11282.fna,ok
1280.11284,Staphylococcus aureus strain 3688STDY6124831,Staphylococcus aureus,hc10:7314,1,2753335,15,genomes/1280.11284.fna,ok
1280.11285,Staphylococcus aureus strain 3688STDY6124829,Staphylococcus aureus,hc10:7030,1,2795596,29,genomes/1280.11285.fna,ok
1280.11286,Staphylococcus aureus strain 3688STDY6124826,Staphylococcus aureus,hc10:6701,1,2812218,20,genomes/1280.11286.fna,ok
1280.11287,Staphylococcus aureus strain 3688STDY6124825,Staphylococcus aureus,hc10:6702,1,2793050,37,genomes/1280.11287.fna,ok
1280.11290,Staphylococcus aureus strain 3688STDY6124819,Staphylococcus aureus,hc10:7031,1,2777468,20,genomes/1280.11290.fna,ok
1280.11292,Staphylococcus aureus strain 3688STDY6124817,Staphylococcus aureus,hc10:7315,1,2964051,47,genomes/1280.11292.fna,ok
1280.11293,Staphylococcus aureus strain 3688STDY6124815,Staphylococcus aureus,hc10:7032,1,2757670,19,genomes/1280.11293.fna,ok
1280.11295,Staphylococcus aureus strain 3688STDY6124812,Staphylococcus aureus,hc10:6971,13,2801662,31,genomes/1280.11295.fna,ok
1280.11297,Staphylococcus aureus strain 3688STDY6125048,Staphylococcus aureus,hc10:7317,1,2756526,13,genomes/1280.11297.fna,ok
1280.11298,Staphylococcus aureus strain 3688STDY6125047,Staphylococcus aureus,hc10:7318,1,2740242,14,genomes/1280.11298.fna,ok
1280.11299,Staphylococcus aureus strain 3688STDY6125046,Staphylococcus aureus,hc10:7319,1,2801626,16,genomes/1280.11299.fna,ok
1280.11301,Staphylococcus aureus strain 3688STDY6125043,Staphylococcus aureus,hc10:7320,1,2755520,23,genomes/1280.11301.fna,ok
1280.11306,Staphylococcus aureus strain 3688STDY6125038,Staphylococcus aureus,hc10:7324,1,2791288,15,genomes/1280.11306.fna,ok
1280.11309,Staphylococcus aureus strain 3688STDY6125034,Staphylococcus aureus,hc10:7299,2,2737390,21,genomes/1280.11309.fna,ok
1280.11311,Staphylococcus aureus strain 3688STDY6125032,Staphylococcus aureus,hc10:7037,1,2780878,20,genomes/1280.11311.fna,ok
1280.11312,Staphylococcus aureus strain 3688STDY6125031,Staphylococcus aureus,hc10:7038,1,2779791,27,genomes/1280.11312.fna,ok
1280.11313,Staphylococcus aureus strain 3688STDY6125027,Staphylococcus aureus,hc10:7329,1,2745404,14,genomes/1280.11313.fna,ok
1280.11314,Staphylococcus aureus strain 3688STDY6125029,Staphylococcus aureus,hc10:7039,1,2723483,19,genomes/1280.11314.fna,ok
1280.11315,Staphylococcus aureus strain 3688STDY6125025,Staphylococcus aureus,hc10:7040,1,2784530,20,genomes/1280.11315.fna,ok
1280.11316,Staphylococcus aureus strain 3688STDY6125026,Staphylococcus aureus,hc10:7330,1,2735303,24,genomes/1280.11316.fna,ok
1280.11321,Staphylococcus aureus strain 3688STDY6125020,Staphylococcus aureus,hc10:6709,1,2756893,17,genomes/1280.11321.fna,ok
1280.11325,Staphylococcus aureus strain 3688STDY6125014,Staphylococcus aureus,hc10:7043,1,2749230,16,genomes/1280.11325.fna,ok
1280.11328,Staphylococcus aureus strain 3688STDY6124964,Staphylococcus aureus,hc10:7334,1,2652159,16,genomes/1280.11328.fna,ok
1280.11330,Staphylococcus aureus strain 3688STDY6125010,Staphylococcus aureus,hc10:7336,2,2762545,15,genomes/1280.11330.fna,ok
1280.11331,Staphylococcus aureus strain 3688STDY6125009,Staphylococcus aureus,hc10:7337,1,2791375,19,genomes/1280.11331.fna,ok
1280.11332,Staphylococcus aureus strain 3688STDY6125008,Staphylococcus aureus,hc10:7338,1,2701573,37,genomes/1280.11332.fna,ok
1280.11334,Staphylococcus aureus strain 3688STDY6125006,Staphylococcus aureus,hc10:7340,1,2781880,17,genomes/1280.11334.fna,ok
1280.11335,Staphylococcus aureus strain 3688STDY6125005,Staphylococcus aureus,hc10:7341,1,2786984,21,genomes/1280.11335.fna,ok
1280.11337,Staphylococcus aureus strain 3688STDY6125000,Staphylococcus aureus,hc10:7343,1,2714951,18,genomes/1280.11337.fna,ok
1280.11342,Staphylococcus aureus strain 3688STDY6124996,Staphylococcus aureus,hc10:7348,1,2794353,30,genomes/1280.11342.fna,ok
1280.11343,Staphylococcus aureus strain 3688STDY6124995,Staphylococcus aureus,hc10:7349,1,2716770,17,genomes/1280.11343.fna,ok
1280.11346,Staphylococcus aureus strain 3688STDY6124962,Staphylococcus aureus,hc10:7352,1,2832226,40,genomes/1280.11346.fna,ok
1280.11347,Staphylococcus aureus strain 3688STDY6124988,Staphylococcus aureus,hc10:7281,2,2806797,19,genomes/1280.11347.fna,ok
1280.11348,Staphylococcus aureus strain 3688STDY6124986,Staphylococcus aureus,hc10:7354,1,2846972,11,genomes/1280.11348.fna,ok
1280.11349,Staphylococcus aureus strain 3688STDY6124984,Staphylococcus aureus,hc10:7355,1,2788627,18,genomes/1280.11349.fna,ok
1280.11350,Staphylococcus aureus strain 3688STDY6124983,Staphylococcus aureus,hc10:7356,1,2829135,22,genomes/1280.11350.fna,ok
1280.11352,Staphylococcus aureus strain 3688STDY6124981,Staphylococcus aureus,hc10:7358,1,2715317,19,genomes/1280.11352.fna,ok
1280.11358,Staphylococcus aureus strain 3688STDY6124974,Staphylococcus aureus,hc10:6711,1,2779903,13,genomes/1280.11358.fna,ok
1280.11359,Staphylococcus aureus strain 3688STDY6124970,Staphylococcus aureus,hc10:7363,1,2754714,17,genomes/1280.11359.fna,ok
1280.11699,Staphylococcus aureus strain 3688STDY6124973,Staphylococcus aureus,hc10:6712,1,2796552,31,genomes/1280.11699.fna,ok
1280.11701,Staphylococcus aureus strain 3688STDY6124990,Staphylococcus aureus,hc10:7365,1,2756989,23,genomes/1280.11701.fna,ok
1280.11702,Staphylococcus aureus strain 3688STDY6125022,Staphylococcus aureus,hc10:7344,2,2795734,29,genomes/1280.11702.fna,ok
1280.11703,Staphylococcus aureus strain 3688STDY6125036,Staphylococcus aureus,hc10:7045,1,2838102,36,genomes/1280.11703.fna,ok
1280.11704,Staphylococcus aureus strain 3688STDY6124823,Staphylococcus aureus,hc10:6713,1,2779241,14,genomes/1280.11704.fna,ok
1280.11706,Staphylococcus aureus strain 3688STDY6124857,Staphylococcus aureus,hc10:7046,1,2741315,24,genomes/1280.11706.fna,ok
1280.11707,Staphylococcus aureus strain 3688STDY6124864,Staphylococcus aureus,hc10:6715,1,2697979,22,genomes/1280.11707.fna,ok
1280.11708,Staphylococcus aureus strain 3688STDY6124872,Staphylococcus aureus,hc10:7047,1,2804614,30,genomes/1280.11708.fna,ok
1280.11709,Staphylococcus aureus strain 3688STDY6124890,Staphylococcus aureus,hc10:7048,1,2734927,35,genomes/1280.11709.fna,ok
1280.11711,Staphylococcus aureus strain 3688STDY6124902,Staphylococcus aureus,hc10:6716,1,2724614,15,genomes/1280.11711.fna,ok
1280.11712,Staphylococcus aureus strain 3688STDY6124908,Staphylococcus aureus,hc10:6717,1,2705196,33,genomes/1280.11712.fna,ok
1280.11713,Staphylococcus aureus strain 3688STDY6124913,Staphylococcus aureus,hc10:6718,1,2793203,18,genomes/1280.11713.fna,ok
1280.11715,Staphylococcus aureus strain 3688STDY6124915,Staphylococcus aureus,hc10:7368,1,2712065,19,genomes/1280.11715.fna,ok
1280.11717,Staphylococcus aureus strain 3688STDY6124924,Staphylococcus aureus,hc10:6720,1,2663143,14,genomes/1280.11717.fna,ok
1280.11719,Staphylococcus aureus strain 3688STDY6124954,Staphylococcus aureus,hc10:7370,1,2733388,39,genomes/1280.11719.fna,ok
1280.11721,Staphylococcus aureus strain 3688STDY6124993,Staphylococcus aureus,hc10:6721,1,2788166,19,genomes/1280.11721.fna,ok
1280.11722,Staphylococcus aureus strain 3688STDY6124830,Staphylococcus aureus,hc10:7051,1,2768355,24,genomes/1280.11722.fna,ok
1280.11723,Staphylococcus aureus strain 3688STDY6124887,Staphylococcus aureus,hc10:7052,1,2820778,20,genomes/1280.11723.fna,ok
1280.11725,Staphylococcus aureus strain 3688STDY6124959,Staphylococcus aureus,hc10:7372,1,2800715,20,genomes/1280.11725.fna,ok
1280.15865,Staphylococcus aureus strain N32_250215,Staphylococcus aureus,hc10:5606,1,2730771,26,genomes/1280.15865.fna,ok
1280.15866,Staphylococcus aureus strain HCW11A_151214,Staphylococcus aureus,hc10:5607,1,2744592,137,genomes/1280.15866.fna,ok
