genome_id,genome_name,species,mlst,cgmlst_hc10,genome_length,contigs,genome_quality,checkm_completeness,checkm_contamination
1280.10948,Staphylococcus aureus strain 3688STDY6124971,Staphylococcus aureus,MLST.saureus.1156,7269,2825564,29,Good,100,0
1280.10994,Staphylococcus aureus strain 3688STDY6124848,Staphylococcus aureus,MLST.saureus.121,6966,2852478,64,Good,100,0.6
1280.11011,Staphylococcus aureus strain 3688STDY6124900,Staphylococcus aureus,MLST.saureus.121,6651,2808879,30,Good,100,0
1280.11024,Staphylococcus aureus strain 3688STDY6124922,Staphylococcus aureus,MLST.saureus.7,6967,2757615,15,Good,100,0
1280.11026,Staphylococcus aureus strain 3688STDY6124923,Staphylococcus aureus,MLST.saureus.5,6968,2773120,35,Good,100,0
1280.11029,Staphylococcus aureus strain 3688STDY6124926,Staphylococcus aureus,MLST.saureus.25,7270,2753867,15,Good,100,0.6
1280.11030,Staphylococcus aureus strain 3688STDY6124927,Staphylococcus aureus,MLST.saureus.779,6652,2777803,24,Good,100,0.3
1280.11031,Staphylococcus aureus strain 3688STDY6124929,Staphylococcus aureus,MLST.saureus.944,6969,2727678,17,Good,99.4,1.2
1280.11032,Staphylococcus aureus strain 3688STDY6124930,Staphylococcus aureus,MLST.saureus.88,6970,2786848,20,Good,100,0
1280.11033,Staphylococcus aureus strain 3688STDY6124931,Staphylococcus aureus,MLST.saureus.121,6971,2795897,29,Good,100,0
1280.11036,Staphylococcus aureus strain 3688STDY6124933,Staphylococcus aureus,MLST.saureus.239,6653,2975321,60,Good,100,0
1280.11037,Staphylococcus aureus strain 3688STDY6124934,Staphylococcus aureus,MLST.saureus.97,7271,2789324,23,Good,100,0
1280.11038,Staphylococcus aureus strain 3688STDY6124935,Staphylococcus aureus,MLST.saureus.121,6654,2799945,29,Good,100,0.6
1280.11039,Staphylococcus aureus strain 3688STDY6124936,Staphylococcus aureus,MLST.saureus.121,6655,2796554,32,Good,100,0
1280.11040,Staphylococcus aureus strain 3688STDY6124937,Staphylococcus aureus,MLST.saureus.1179,7272,2781417,18,Good,100,0
1280.11042,Staphylococcus aureus strain 3688STDY6124878,Staphylococcus aureus,MLST.saureus.121,6971,2798651,29,Good,100,0
1280.11043,Staphylococcus aureus strain 3688STDY6124939,Staphylococcus aureus,MLST.saureus.121,7273,2779584,33,Good,100,0
1280.11049,Staphylococcus aureus strain 3688STDY6124949,Staphylococcus aureus,MLST.saureus.121,6655,2793693,29,Good,100,0
1280.11050,Staphylococcus aureus strain 3688STDY6124879,Staphylococcus aureus,MLST.saureus.1,6657,2814778,12,Good,100,0
1280.11054,Staphylococcus aureus strain 3688STDY6124957,Staphylococcus aureus,MLST.saureus.121,7274,2797538,31,Good,100,0
1280.11118,Staphylococcus aureus strain 3688STDY6124966,Staphylococcus aureus,MLST.saureus.121,7274,2792148,30,Good,100,0
1280.11150,Staphylococcus aureus strain 3688STDY6125057,Staphylococcus aureus,MLST.saureus.1155,6660,2677454,8,Good,100,0
1280.11151,Staphylococcus aureus strain 3688STDY6125107,Staphylococcus aureus,MLST.saureus.1155,6979,2717207,9,Good,100,0
1280.11152,Staphylococcus aureus strain 3688STDY6125053,Staphylococcus aureus,MLST.saureus.7,6661,2725855,16,Good,100,0
1280.11153,Staphylococcus aureus strain 3688STDY6125103,Staphylococcus aureus,MLST.saureus.1156,6980,2754821,23,Good,100,0
1280.11154,Staphylococcus aureus strain 3688STDY6125102,Staphylococcus aureus,MLST.saureus.88,6981,2839677,32,Good,100,0.6
1280.11155,Staphylococcus aureus strain 3688STDY6125058,Staphylococcus aureus,MLST.saureus.121,7274,2792970,28,Good,100,0
1280.11156,Staphylococcus aureus strain 3688STDY6124951,Staphylococcus aureus,MLST.saureus.121,6654,2798967,32,Good,100,0
1280.11157,Staphylococcus aureus strain 3688STDY6124950,Staphylococcus aureus,MLST.saureus.1,7279,2770625,14,Good,100,0.6
1280.11158,Staphylococcus aureus strain 3688STDY6124948,Staphylococcus aureus,MLST.saureus.121,7274,2799139,32,Good,100,0.6
1280.11159,Staphylococcus aureus strain 3688STDY6124940,Staphylococcus aureus,MLST.saureus.1,7281,2814697,26,Good,100,0
1280.11160,Staphylococcus aureus strain 3688STDY6124928,Staphylococcus aureus,MLST.saureus.88,6663,2715862,14,Good,100,0.6
1280.11161,Staphylococcus aureus strain 3688STDY6124876,Staphylococcus aureus,MLST.saureus.1236,6982,2752920,13,Good,100,0
1280.11162,Staphylococcus aureus strain 3688STDY6124918,Staphylococcus aureus,MLST.saureus.88,6664,2718062,15,Good,100,0.6
1280.11164,Staphylococcus aureus strain 3688STDY6124909,Staphylococcus aureus,MLST.saureus.121,6983,2797560,29,Good,100,0
1280.11165,Staphylococcus aureus strain 3688STDY6124896,Staphylococcus aureus,MLST.saureus.1217,6984,2712790,18,Good,100,0
1280.11166,Staphylococcus aureus strain 3688STDY6124894,Staphylococcus aureus,MLST.saureus.88,6985,2789271,21,Good,100,0.6
1280.11167,Staphylococcus aureus strain 3688STDY6124893,Staphylococcus aureus,MLST.saureus.121,6655,2796744,30,Good,100,0
1280.11168,Staphylococcus aureus strain 3688STDY6124892,Staphylococcus aureus,MLST.saureus.1217,6667,2700621,19,Good,100,0
1280.11169,Staphylococcus aureus strain 3688STDY6124891,Staphylococcus aureus,MLST.saureus.97,6668,2781043,21,Good,100,0
1280.11170,Staphylococcus aureus strain 3688STDY6124882,Staphylococcus aureus,MLST.saureus.121,6971,2800846,33,Good,100,0
1280.11171,Staphylococcus aureus strain 3688STDY6124883,Staphylococcus aureus,MLST.saureus.779,6987,2801580,23,Good,100,0
1280.11172,Staphylococcus aureus strain 3688STDY6124881,Staphylococcus aureus,MLST.saureus.121,6971,2802028,30,Good,100,0
1280.11173,Staphylococcus aureus strain 3688STDY6124871,Staphylococcus aureus,MLST.saureus.88,6970,2827238,25,Good,100,0
1280.11174,Staphylococcus aureus strain 3688STDY6124867,Staphylococcus aureus,MLST.saureus.121,6971,2799126,29,Good,100,1.2
1280.11175,Staphylococcus aureus strain 3688STDY6124853,Staphylococcus aureus,MLST.saureus.188,6991,2735970,12,Good,100,0.6
1280.11176,Staphylococcus aureus strain 3688STDY6124856,Staphylococcus aureus,MLST.saureus.121,6992,2810322,31,Good,100,0
1280.11177,Staphylococcus aureus strain 3688STDY6124851,Staphylococcus aureus,MLST.saureus.1215,6669,2831546,21,Good,100,0
1280.11178,Staphylococcus aureus strain 3688STDY6124846,Staphylococcus aureus,MLST.saureus.121,6670,2800129,30,Good,100,0
1280.11179,Staphylococcus aureus strain 3688STDY6124842,Staphylococcus aureus,MLST.saureus.121,6654,2790701,32,Good,100,0
1280.11180,Staphylococcus aureus strain 3688STDY6124828,Staphylococcus aureus,MLST.saureus.1215,6672,2823960,18,Good,100,0
1280.11181,Staphylococcus aureus strain 3688STDY6124839,Staphylococcus aureus,MLST.saureus.1,6673,2778553,9,Good,100,0
1280.11182,Staphylococcus aureus strain 3688STDY6124822,Staphylococcus aureus,MLST.saureus.239,6674,2862279,37,Good,100,0
1280.11183,Staphylococcus aureus strain 3688STDY6124816,Staphylococcus aureus,MLST.saureus.1,7282,2811123,9,Good,100,0
1280.11184,Staphylococcus aureus strain 3688STDY6124813,Staphylococcus aureus,MLST.saureus.97,6993,2732658,17,Good,100,0
1280.11185,Staphylococcus aureus strain 3688STDY6125044,Staphylococcus aureus,MLST.saureus.121,6654,2796341,31,Good,100,0
1280.11186,Staphylococcus aureus strain 3688STDY6125040,Staphylococcus aureus,MLST.saureus.121,7274,2796813,30,Good,100,0
1280.11187,Staphylococcus aureus strain 3688STDY6125030,Staphylococcus aureus,MLST.saureus.121,6983,2837051,32,Good,100,0
1280.11188,Staphylococcus aureus strain 3688STDY6125028,Staphylococcus aureus,MLST.saureus.121,7274,2792830,31,Good,100,0
1280.11189,Staphylococcus aureus strain 3688STDY6125021,Staphylococcus aureus,MLST.saureus.121,7285,2790981,24,Good,100,0
1280.11190,Staphylococcus aureus strain 3688STDY6125017,Staphylococcus aureus,MLST.saureus.97,7271,2790540,18,Good,100,0
1280.11191,Staphylococcus aureus strain 3688STDY6125002,Staphylococcus aureus,MLST.saureus.5,6676,2712931,17,Good,100,0
1280.11192,Staphylococcus aureus strain 3688STDY6124994,Staphylococcus aureus,MLST.saureus.121,7274,2788066,30,Good,100,0
1280.11193,Staphylococcus aureus strain 3688STDY6124991,Staphylococcus aureus,MLST.saureus.121,6654,2799915,32,Good,100,0
1280.11194,Staphylococcus aureus strain 3688STDY6124985,Staphylococcus aureus,MLST.saureus.121,7285,2802783,32,Good,100,0
1280.11196,Staphylococcus aureus strain 3688STDY6124987,Staphylococcus aureus,MLST.saureus.1,7289,2824777,11,Good,100,0
1280.11197,Staphylococcus aureus strain 3688STDY6124972,Staphylococcus aureus,MLST.saureus.88,7290,2757360,18,Good,100,1.2
1280.11198,Staphylococcus aureus strain 3688STDY6124969,Staphylococcus aureus,MLST.saureus.1292,6679,2714509,25,Good,100,0
1280.11199,Staphylococcus aureus strain 3688STDY6124960,Staphylococcus aureus,MLST.saureus.121,6654,2792111,34,Good,100,0
1280.11200,Staphylococcus aureus strain 3688STDY6125142,Staphylococcus aureus,MLST.saureus.97,6995,2731654,16,Good,100,0
1280.11201,Staphylococcus aureus strain 3688STDY6125056,Staphylococcus aureus,MLST.saureus.97,7291,2740067,19,Good,100,0
1280.11202,Staphylococcus aureus strain 3688STDY6125055,Staphylococcus aureus,MLST.saureus.121,7285,2790813,27,Good,100,0
1280.11203,Staphylococcus aureus strain 3688STDY6125054,Staphylococcus aureus,MLST.saureus.121,7285,2800266,37,Good,100,0
1280.11204,Staphylococcus aureus strain 3688STDY6125104,Staphylococcus aureus,MLST.saureus.121,6996,2801380,36,Good,100,0
1280.11205,Staphylococcus aureus strain 3688STDY6125101,Staphylococcus aureus,MLST.saureus.25,7294,2753286,16,Good,100,0.6
1280.11206,Staphylococcus aureus strain 3688STDY6125052,Staphylococcus aureus,MLST.saureus.121,7274,2795913,36,Good,100,0
1280.11207,Staphylococcus aureus strain 3688STDY6125051,Staphylococcus aureus,MLST.saureus.121,6997,2796255,28,Good,100,1.2
1280.11208,Staphylococcus aureus strain 3688STDY6125050,Staphylococcus aureus,MLST.saureus.779,7296,2772624,27,Good,100,0
1280.11209,Staphylococcus aureus strain 3688STDY6125060,Staphylococcus aureus,MLST.saureus.1,6681,2798236,11,Good,100,0.6
1280.11210,Staphylococcus aureus strain 3688STDY6125049,Staphylococcus aureus,,7297,2748176,18,Good,100,0
1280.11211,Staphylococcus aureus strain 3688STDY6125059,Staphylococcus aureus,MLST.saureus.188,7298,2835793,19,Good,100,0.6
1280.11212,Staphylococcus aureus strain 3688STDY6124880,Staphylococcus aureus,MLST.saureus.291,6998,2775071,33,Good,100,0
1280.11213,Staphylococcus aureus strain 3688STDY6124958,Staphylococcus aureus,MLST.saureus.15,7299,2746053,23,Good,100,0
1280.11214,Staphylococcus aureus strain 3688STDY6124956,Staphylococcus aureus,MLST.saureus.121,7285,2800896,33,Good,100,0
1280.11215,Staphylococcus aureus strain 3688STDY6124955,Staphylococcus aureus,MLST.saureus.239,7301,3004009,40,Good,100,0
1280.11216,Staphylococcus aureus strain 3688STDY6124952,Staphylococcus aureus,MLST.saureus.121,7274,2790142,32,Good,100,0
1280.11217,Staphylococcus aureus strain 3688STDY6124947,Staphylococcus aureus,MLST.saureus.15,7303,2695670,20,Good,100,0
1280.11218,Staphylococcus aureus strain 3688STDY6124946,Staphylococcus aureus,MLST.saureus.121,7304,2796159,31,Good,100,0
1280.11219,Staphylococcus aureus strain 3688STDY6124945,Staphylococcus aureus,MLST.saureus.241,7305,2984688,53,Good,100,0.6
1280.11220,Staphylococcus aureus strain 3688STDY6124944,Staphylococcus aureus,MLST.saureus.72,6682,2719434,19,Good,100,0
1280.11221,Staphylococcus aureus strain 3688STDY6124943,Staphylococcus aureus,MLST.saureus.121,7274,2798819,29,Good,100,0
1280.11222,Staphylococcus aureus strain 3688STDY6124942,Staphylococcus aureus,MLST.saureus.1179,7307,2786000,20,Good,100,0
1280.11223,Staphylococcus aureus strain 3688STDY6124938,Staphylococcus aureus,MLST.saureus.239,7308,3045411,52,Good,100,0
1280.11224,Staphylococcus aureus strain 3688STDY6124932,Staphylococcus aureus,MLST.saureus.25,6999,2741155,12,Good,100,0.6
1280.11225,Staphylococcus aureus strain 3688STDY6124877,Staphylococcus aureus,MLST.saureus.97,6683,2743205,18,Good,100,0
1280.11226,Staphylococcus aureus strain 3688STDY6124925,Staphylococcus aureus,MLST.saureus.88,7000,2784752,19,Good,100,0.6
1280.11229,Staphylococcus aureus strain 3688STDY6124921,Staphylococcus aureus,MLST.saureus.2968,7001,2680066,8,Good,100,0
1280.11230,Staphylococcus aureus strain 3688STDY6124920,Staphylococcus aureus,MLST.saureus.88,6684,2769195,17,Good,100,0.6
1280.11231,Staphylococcus aureus strain 3688STDY6124916,Staphylococcus aureus,MLST.saureus.7,7002,2783400,15,Good,100,0
1280.11232,Staphylococcus aureus strain 3688STDY6124912,Staphylococcus aureus,MLST.saureus.97,6685,2750451,20,Good,100,0
1280.11233,Staphylococcus aureus strain 3688STDY6124875,Staphylococcus aureus,MLST.saureus.6,6686,2795427,17,Good,100,0.6
1280.11234,Staphylococcus aureus strain 3688STDY6124911,Staphylococcus aureus,MLST.saureus.1156,7003,2779010,25,Good,100,0
1280.11235,Staphylococcus aureus strain 3688STDY6124910,Staphylococcus aureus,MLST.saureus.1,7004,2812775,13,Good,100,0
1280.11236,Staphylococcus aureus strain 3688STDY6124906,Staphylococcus aureus,MLST.saureus.5,7005,2687092,15,Good,100,0.6
1280.11237,Staphylococcus aureus strain 3688STDY6124905,Staphylococcus aureus,MLST.saureus.121,6655,2795262,35,Good,100,0
1280.11238,Staphylococcus aureus strain 3688STDY6124904,Staphylococcus aureus,MLST.saureus.88,7309,2765497,16,Good,100,0.6
1280.11239,Staphylococcus aureus strain 3688STDY6124903,Staphylococcus aureus,,6688,2739185,14,Good,100,0.6
1280.11241,Staphylococcus aureus strain 3688STDY6124901,Staphylococcus aureus,MLST.saureus.121,7310,2799483,33,Good,100,1.2
1280.11242,Staphylococcus aureus strain 3688STDY6124874,Staphylococcus aureus,MLST.saureus.121,6983,2794649,31,Good,100,0
1280.11243,Staphylococcus aureus strain 3688STDY6124899,Staphylococcus aureus,MLST.saureus.1292,7007,2709736,24,Good,100,0
1280.11244,Staphylococcus aureus strain 3688STDY6124897,Staphylococcus aureus,MLST.saureus.2968,7311,2678096,9,Good,100,0
1280.11245,Staphylococcus aureus strain 3688STDY6124895,Staphylococcus aureus,MLST.saureus.72,7008,2748329,16,Good,100,0
1280.11246,Staphylococcus aureus strain 3688STDY6124873,Staphylococcus aureus,MLST.saureus.121,6983,2799366,31,Good,100,0
1280.11248,Staphylococcus aureus strain 3688STDY6124889,Staphylococcus aureus,MLST.saureus.1153,6689,2834143,11,Good,100,0
1280.11249,Staphylococcus aureus strain 3688STDY6124888,Staphylococcus aureus,MLST.saureus.6,7312,2775700,22,Good,100,1.2
1280.11250,Staphylococcus aureus strain 3688STDY6124886,Staphylococcus aureus,MLST.saureus.121,6971,2842678,35,Good,100,0
1280.11251,Staphylococcus aureus strain 3688STDY6124885,Staphylococcus aureus,MLST.saureus.121,6983,2797173,29,Good,100,0
1280.11252,Staphylococcus aureus strain 3688STDY6124884,Staphylococcus aureus,MLST.saureus.2969,6983,2796468,32,Good,100,0
1280.11254,Staphylococcus aureus strain 3688STDY6124870,Staphylococcus aureus,MLST.saureus.15,7013,2687532,20,Good,100,0
1280.11255,Staphylococcus aureus strain 3688STDY6124869,Staphylococcus aureus,MLST.saureus.6,7014,2721409,18,Good,100,0.6
1280.11256,Staphylococcus aureus strain 3688STDY6124868,Staphylococcus aureus,MLST.saureus.6,7014,2721120,19,Good,100,0.6
1280.11257,Staphylococcus aureus strain 3688STDY6124866,Staphylococcus aureus,MLST.saureus.12,7016,2778263,22,Good,100,0
1280.11258,Staphylococcus aureus strain 3688STDY6124865,Staphylococcus aureus,MLST.saureus.1,7017,2816131,24,Good,100,0
1280.11259,Staphylococcus aureus strain 3688STDY6124863,Staphylococcus aureus,MLST.saureus.1156,6690,2777550,23,Good,100,0
1280.11261,Staphylococcus aureus strain 3688STDY6124861,Staphylococcus aureus,MLST.saureus.188,7018,2738662,14,Good,100,0
1280.11262,Staphylococcus aureus strain 3688STDY6124862,Staphylococcus aureus,MLST.saureus.5495,7019,2735339,12,Good,100,0
1280.11263,Staphylococcus aureus strain 3688STDY6124860,Staphylococcus aureus,MLST.saureus.15,7020,2725902,20,Good,100,0
1280.11264,Staphylococcus aureus strain 3688STDY6124859,Staphylococcus aureus,MLST.saureus.1155,7021,2794001,13,Good,100,0
1280.11265,Staphylococcus aureus strain 3688STDY6124858,Staphylococcus aureus,MLST.saureus.1179,7022,2771338,20,Good,100,0
1280.11266,Staphylococcus aureus strain 3688STDY6124855,Staphylococcus aureus,MLST.saureus.121,7023,2782953,28,Good,100,0
1280.11267,Staphylococcus aureus strain 3688STDY6124854,Staphylococcus aureus,MLST.saureus.121,7024,2796177,31,Good,100,0
1280.11268,Staphylococcus aureus strain 3688STDY6124852,Staphylococcus aureus,MLST.saureus.121,6971,2844417,31,Good,100,0
1280.11269,Staphylococcus aureus strain 3688STDY6124850,Staphylococcus aureus,MLST.saureus.101,6691,2739760,17,Good,100,0
1280.11270,Staphylococcus aureus strain 3688STDY6124845,Staphylococcus aureus,MLST.saureus.1153,6692,2757259,12,Good,100,0
1280.11271,Staphylococcus aureus strain 3688STDY6124849,Staphylococcus aureus,MLST.saureus.121,6983,2801060,32,Good,100,0
1280.11272,Staphylococcus aureus strain 3688STDY6124844,Staphylococcus aureus,MLST.saureus.101,6691,2694758,14,Good,100,0
1280.11273,Staphylococcus aureus strain 3688STDY6124847,Staphylococcus aureus,MLST.saureus.97,6694,2721746,15,Good,100,0
1280.11274,Staphylococcus aureus strain 3688STDY6124843,Staphylococcus aureus,MLST.saureus.121,6670,2812935,36,Good,100,0
1280.11275,Staphylococcus aureus strain 3688STDY6124841,Staphylococcus aureus,MLST.saureus.121,6655,2827945,32,Good,100,0
1280.11276,Staphylococcus aureus strain 3688STDY6124840,Staphylococcus aureus,MLST.saureus.121,6655,2793558,28,Good,100,0
1280.11277,Staphylococcus aureus strain 3688STDY6124838,Staphylococcus aureus,MLST.saureus.121,6655,2797263,35,Good,100,0
1280.11278,Staphylococcus aureus strain 3688STDY6124837,Staphylococcus aureus,MLST.saureus.121,7313,2795347,42,Good,100,1.2
1280.11279,Staphylococcus aureus strain 3688STDY6124835,Staphylococcus aureus,MLST.saureus.101,6691,2736871,14,Good,100,0
1280.11280,Staphylococcus aureus strain 3688STDY6124836,Staphylococcus aureus,MLST.saureus.97,6700,2739546,18,Good,100,0
1280.11281,Staphylococcus aureus strain 3688STDY6124833,Staphylococcus aureus,MLST.saureus.121,6983,2787623,27,Good,100,0
1280.11282,Staphylococcus aureus strain 3688STDY6124832,Staphylococcus aureus,MLST.saureus.15,7028,2731838,17,Good,100,0
1280.11283,Staphylococcus aureus strain 3688STDY6124834,Staphylococcus aureus,MLST.saureus.121,6971,2804431,33,Good,100,0.6
1280.11284,Staphylococcus aureus strain 3688STDY6124831,Staphylococcus aureus,MLST.saureus.6,7314,2753335,15,Good,100,0.6
1280.11285,Staphylococcus aureus strain 3688STDY6124829,Staphylococcus aureus,MLST.saureus.121,7030,2795596,29,Good,100,0
1280.11286,Staphylococcus aureus strain 3688STDY6124826,Staphylococcus aureus,MLST.saureus.1,6701,2812218,20,Good,100,0
1280.11287,Staphylococcus aureus strain 3688STDY6124825,Staphylococcus aureus,MLST.saureus.121,6702,2793050,37,Good,100,0
1280.11288,Staphylococcus aureus strain 3688STDY6124824,Staphylococcus aureus,MLST.saureus.121,6670,2797355,39,Good,100,0
1280.11289,Staphylococcus aureus strain 3688STDY6124820,Staphylococcus aureus,MLST.saureus.121,6670,2800554,35,Good,100,0
1280.11290,Staphylococcus aureus strain 3688STDY6124819,Staphylococcus aureus,MLST.saureus.12,7031,2777468,20,Good,100,0
1280.11291,Staphylococcus aureus strain 3688STDY6124818,Staphylococcus aureus,MLST.saureus.121,6670,2795145,32,Good,100,0
1280.11292,Staphylococcus aureus strain 3688STDY6124817,Staphylococcus aureus,MLST.saureus.239,7315,2964051,47,Good,100,0
1280.11293,Staphylococcus aureus strain 3688STDY6124815,Staphylococcus aureus,MLST.saureus.88,7032,2757670,19,Good,100,0.6
1280.11294,Staphylococcus aureus strain 3688STDY6124814,Staphylococcus aureus,MLST.saureus.121,6971,2842272,35,Good,100,0
1280.11295,Staphylococcus aureus strain 3688STDY6124812,Staphylococcus aureus,MLST.saureus.121,6971,2801662,31,Good,100,0.6
1280.11296,Staphylococcus aureus strain 3688STDY6124968,Staphylococcus aureus,MLST.saureus.121,7310,2818134,48,Good,100,0
1280.11297,Staphylococcus aureus strain 3688STDY6125048,Staphylococcus aureus,,7317,2756526,13,Good,100,0
1280.11298,Staphylococcus aureus strain 3688STDY6125047,Staphylococcus aureus,MLST.saureus.88,7318,2740242,14,Good,100,0.6
1280.11299,Staphylococcus aureus strain 3688STDY6125046,Staphylococcus aureus,MLST.saureus.7,7319,2801626,16,Good,100,0
1280.11300,Staphylococcus aureus strain 3688STDY6125045,Staphylococcus aureus,MLST.saureus.121,6971,2844797,34,Good,100,0
1280.11301,Staphylococcus aureus strain 3688STDY6125043,Staphylococcus aureus,MLST.saureus.1156,7320,2755520,23,Good,100,0
1280.11302,Staphylococcus aureus strain 3688STDY6125042,Staphylococcus aureus,MLST.saureus.121,7274,2794024,31,Good,100,0
1280.11303,Staphylococcus aureus strain 3688STDY6125041,Staphylococcus aureus,MLST.saureus.121,6971,2799823,33,Good,100,0
