genome_id,genome_name,cluster,cluster_size
1280.11011,Staphylococcus aureus strain 3688STDY6124900,hc10:6651,1
1280.11024,Staphylococcus aureus strain 3688STDY6124922,hc10:6967,1
1280.11026,Staphylococcus aureus strain 3688STDY6124923,hc10:6968,1
1280.11029,Staphylococcus aureus strain 3688STDY6124926,hc10:7270,1
1280.11030,Staphylococcus aureus strain 3688STDY6124927,hc10:6652,1
1280.11031,Staphylococcus aureus strain 3688STDY6124929,hc10:6969,1
1280.11032,Staphylococcus aureus strain 3688STDY6124930,hc10:6970,3
1280.11036,Staphylococcus aureus strain 3688STDY6124933,hc10:6653,1
1280.11038,Staphylococcus aureus strain 3688STDY6124935,hc10:6654,7
1280.11040,Staphylococcus aureus strain 3688STDY6124937,hc10:7272,1
1280.11043,Staphylococcus aureus strain 3688STDY6124939,hc10:7273,1
1280.11050,Staphylococcus aureus strain 3688STDY6124879,hc10:6657,1
1280.11150,Staphylococcus aureus strain 3688STDY6125057,hc10:6660,1
1280.11151,Staphylococcus aureus strain 3688STDY6125107,hc10:6979,1
1280.11152,Staphylococcus aureus strain 3688STDY6125053,hc10:6661,1
1280.11153,Staphylococcus aureus strain 3688STDY6125103,hc10:6980,1
1280.11154,Staphylococcus aureus strain 3688STDY6125102,hc10:6981,1
1280.11157,Staphylococcus aureus strain 3688STDY6124950,hc10:7279,1
1280.11158,Staphylococcus aureus strain 3688STDY6124948,hc10:7274,31
1280.11160,Staphylococcus aureus strain 3688STDY6124928,hc10:6663,1
1280.11161,Staphylococcus aureus strain 3688STDY6124876,hc10:6982,1
1280.11162,Staphylococcus aureus strain 3688STDY6124918,hc10:6664,1
1280.11165,Staphylococcus aureus strain 3688STDY6124896,hc10:6984,1
1280.11166,Staphylococcus aureus strain 3688STDY6124894,hc10:6985,1
1280.11168,Staphylococcus aureus strain 3688STDY6124892,hc10:6667,1
1280.11169,Staphylococcus aureus strain 3688STDY6124891,hc10:6668,1
1280.11171,Staphylococcus aureus strain 3688STDY6124883,hc10:6987,1
1280.11175,Staphylococcus aureus strain 3688STDY6124853,hc10:6991,1
1280.11176,Staphylococcus aureus strain 3688STDY6124856,hc10:6992,1
1280.11177,Staphylococcus aureus strain 3688STDY6124851,hc10:6669,1
1280.11178,Staphylococcus aureus strain 3688STDY6124846,hc10:6670,6
1280.11180,Staphylococcus aureus strain 3688STDY6124828,hc10:6672,1
1280.11181,Staphylococcus aureus strain 3688STDY6124839,hc10:6673,1
1280.11182,Staphylococcus aureus strain 3688STDY6124822,hc10:6674,1
1280.11183,Staphylococcus aureus strain 3688STDY6124816,hc10:7282,1
1280.11184,Staphylococcus aureus strain 3688STDY6124813,hc10:6993,1
1280.11189,Staphylococcus aureus strain 3688STDY6125021,hc10:7285,8
1280.11190,Staphylococcus aureus strain 3688STDY6125017,hc10:7271,2
1280.11191,Staphylococcus aureus strain 3688STDY6125002,hc10:6676,1
1280.11196,Staphylococcus aureus strain 3688STDY6124987,hc10:7289,1
1280.11197,Staphylococcus aureus strain 3688STDY6124972,hc10:7290,1
1280.11198,Staphylococcus aureus strain 3688STDY6124969,hc10:6679,1
1280.11200,Staphylococcus aureus strain 3688STDY6125142,hc10:6995,2
1280.11201,Staphylococcus aureus strain 3688STDY6125056,hc10:7291,1
1280.11204,Staphylococcus aureus strain 3688STDY6125104,hc10:6996,1
1280.11205,Staphylococcus aureus strain 3688STDY6125101,hc10:7294,1
1280.11207,Staphylococcus aureus strain 3688STDY6125051,hc10:6997,1
1280.11208,Staphylococcus aureus strain 3688STDY6125050,hc10:7296,1
1280.11209,Staphylococcus aureus strain 3688STDY6125060,hc10:6681,1
1280.11210,Staphylococcus aureus strain 3688STDY6125049,hc10:7297,1
1280.11211,Staphylococcus aureus strain 3688STDY6125059,hc10:7298,1
1280.11212,Staphylococcus aureus strain 3688STDY6124880,hc10:6998,1
1280.11215,Staphylococcus aureus strain 3688STDY6124955,hc10:7301,1
1280.11217,Staphylococcus aureus strain 3688STDY6124947,hc10:7303,2
1280.11218,Staphylococcus aureus strain 3688STDY6124946,hc10:7304,1
1280.11219,Staphylococcus aureus strain 3688STDY6124945,hc10:7305,1
1280.11220,Staphylococcus aureus strain 3688STDY6124944,hc10:6682,1
1280.11222,Staphylococcus aureus strain 3688STDY6124942,hc10:7307,1
1280.11223,Staphylococcus aureus strain 3688STDY6124938,hc10:7308,1
1280.11224,Staphylococcus aureus strain 3688STDY6124932,hc10:6999,1
1280.11225,Staphylococcus aureus strain 3688STDY6124877,hc10:6683,1
1280.11226,Staphylococcus aureus strain 3688STDY6124925,hc10:7000,1
1280.11229,Staphylococcus aureus strain 3688STDY6124921,hc10:7001,1
1280.11230,Staphylococcus aureus strain 3688STDY6124920,hc10:6684,1
1280.11231,Staphylococcus aureus strain 3688STDY6124916,hc10:7002,1
1280.11232,Staphylococcus aureus strain 3688STDY6124912,hc10:6685,1
1280.11233,Staphylococcus aureus strain 3688STDY6124875,hc10:6686,1
1280.11234,Staphylococcus aureus strain 3688STDY6124911,hc10:7003,1
1280.11235,Staphylococcus aureus strain 3688STDY6124910,hc10:7004,1
1280.11236,Staphylococcus aureus strain 3688STDY6124906,hc10:7005,1
1280.11238,Staphylococcus aureus strain 3688STDY6124904,hc10:7309,1
1280.11239,Staphylococcus aureus strain 3688STDY6124903,hc10:6688,1
1280.11241,Staphylococcus aureus strain 3688STDY6124901,hc10:7310,2
1280.11243,Staphylococcus aureus strain 3688STDY6124899,hc10:7007,1
1280.11244,Staphylococcus aureus strain 3688STDY6124897,hc10:7311,1
1280.11245,Staphylococcus aureus strain 3688STDY6124895,hc10:7008,1
1280.11248,Staphylococcus aureus strain 3688STDY6124889,hc10:6689,1
1280.11249,Staphylococcus aureus strain 3688STDY6124888,hc10:7312,1
1280.11254,Staphylococcus aureus strain 3688STDY6124870,hc10:7013,1
1280.11255,Staphylococcus aureus strain 3688STDY6124869,hc10:7014,2
1280.11257,Staphylococcus aureus strain 3688STDY6124866,hc10:7016,1
1280.11258,Staphylococcus aureus strain 3688STDY6124865,hc10:7017,1
1280.11259,Staphylococcus aureus strain 3688STDY6124863,hc10:6690,1
1280.11261,Staphylococcus aureus strain 3688STDY6124861,hc10:7018,1
1280.11262,Staphylococcus aureus strain 3688STDY6124862,hc10:7019,1
1280.11263,Staphylococcus aureus strain 3688STDY6124860,hc10:7020,1
1280.11264,Staphylococcus aureus strain 3688STDY6124859,hc10:7021,1
1280.11265,Staphylococcus aureus strain 3688STDY6124858,hc10:7022,1
1280.11266,Staphylococcus aureus strain 3688STDY6124855,hc10:7023,1
1280.11267,Staphylococcus aureus strain 3688STDY6124854,hc10:7024,1
1280.11270,Staphylococcus aureus strain 3688STDY6124845,hc10:6692,1
1280.11272,Staphylococcus aureus strain 3688STDY6124844,hc10:6691,3
1280.11273,Staphylococcus aureus strain 3688STDY6124847,hc10:6694,1
1280.11276,Staphylococcus aureus strain 3688STDY6124840,hc10:6655,11
1280.11278,Staphylococcus aureus strain 3688STDY6124837,hc10:7313,1
1280.11280,Staphylococcus aureus strain 3688STDY6124836,hc10:6700,1
1280.11281,Staphylococcus aureus strain 3688STDY6124833,hc10:6983,10
1280.11282,Staphylococcus aureus strain 3688STDY6124832,hc10:7028,1
1280.11284,Staphylococcus aureus strain 3688STDY6124831,hc10:7314,1
1280.11285,Staphylococcus aureus strain 3688STDY6124829,hc10:7030,1
1280.11286,Staphylococcus aureus strain 3688STDY6124826,hc10:6701,1
1280.11287,Staphylococcus aureus strain 3688STDY6124825,hc10:6702,1
1280.11290,Staphylococcus aureus strain 3688STDY6124819,hc10:7031,1
1280.11292,Staphylococcus aureus strain 3688STDY6124817,hc10:7315,1
1280.11293,Staphylococcus aureus strain 3688STDY6124815,hc10:7032,1
1280.11295,Staphylococcus aureus strain 3688STDY6124812,hc10:6971,13
1280.11297,Staphylococcus aureus strain 3688STDY6125048,hc10:7317,1
1280.11298,Staphylococcus aureus strain 3688STDY6125047,hc10:7318,1
1280.11299,Staphylococcus aureus strain 3688STDY6125046,hc10:7319,1
1280.11301,Staphylococcus aureus strain 3688STDY6125043,hc10:7320,1
1280.11306,Staphylococcus aureus strain 3688STDY6125038,hc10:7324,1
1280.11309,Staphylococcus aureus strain 3688STDY6125034,hc10:7299,2
1280.11311,Staphylococcus aureus strain 3688STDY6125032,hc10:7037,1
1280.11312,Staphylococcus aureus strain 3688STDY6125031,hc10:7038,1
1280.11313,Staphylococcus aureus strain 3688STDY6125027,hc10:7329,1
1280.11314,Staphylococcus aureus strain 3688STDY6125029,hc10:7039,1
1280.11315,Staphylococcus aureus strain 3688STDY6125025,hc10:7040,1
1280.11316,Staphylococcus aureus strain 3688STDY6125026,hc10:7330,1
1280.11321,Staphylococcus aureus strain 3688STDY6125020,hc10:6709,1
1280.11325,Staphylococcus aureus strain 3688STDY6125014,hc10:7043,1
1280.11328,Staphylococcus aureus strain 3688STDY6124964,hc10:7334,1
1280.11330,Staphylococcus aureus strain 3688STDY6125010,hc10:7336,2
1280.11331,Staphylococcus aureus strain 3688STDY6125009,hc10:7337,1
1280.11332,Staphylococcus aureus strain 3688STDY6125008,hc10:7338,1
1280.11334,Staphylococcus aureus strain 3688STDY6125006,hc10:7340,1
1280.11335,Staphylococcus aureus strain 3688STDY6125005,hc10:7341,1
1280.11337,Staphylococcus aureus strain 3688STDY6125000,hc10:7343,1
1280.11342,Staphylococcus aureus strain 3688STDY6124996,hc10:7348,1
1280.11343,Staphylococcus aureus strain 3688STDY6124995,hc10:7349,1
1280.11346,Staphylococcus aureus strain 3688STDY6124962,hc10:7352,1
1280.11347,Staphylococcus aureus strain 3688STDY6124988,hc10:7281,2
1280.11348,Staphylococcus aureus strain 3688STDY6124986,hc10:7354,1
1280.11349,Staphylococcus aureus strain 3688STDY6124984,hc10:7355,1
1280.11350,Staphylococcus aureus strain 3688STDY6124983,hc10:7356,1
1280.11352,Staphylococcus aureus strain 3688STDY6124981,hc10:7358,1
1280.11358,Staphylococcus aureus strain 3688STDY6124974,hc10:6711,1
1280.11359,Staphylococcus aureus strain 3688STDY6124970,hc10:7363,1
1280.11699,Staphylococcus aureus strain 3688STDY6124973,hc10:6712,1
1280.11701,Staphylococcus aureus strain 3688STDY6124990,hc10:7365,1
1280.11702,Staphylococcus aureus strain 3688STDY6125022,hc10:7344,2
1280.11703,Staphylococcus aureus strain 3688STDY6125036,hc10:7045,1
1280.11704,Staphylococcus aureus strain 3688STDY6124823,hc10:6713,1
1280.11706,Staphylococcus aureus strain 3688STDY6124857,hc10:7046,1
1280.11707,Staphylococcus aureus strain 3688STDY6124864,hc10:6715,1
1280.11708,Staphylococcus aureus strain 3688STDY6124872,hc10:7047,1
1280.11709,Staphylococcus aureus strain 3688STDY6124890,hc10:7048,1
1280.11711,Staphylococcus aureus strain 3688STDY6124902,hc10:6716,1
1280.11712,Staphylococcus aureus strain 3688STDY6124908,hc10:6717,1
1280.11713,Staphylococcus aureus strain 3688STDY6124913,hc10:6718,1
1280.11715,Staphylococcus aureus strain 3688STDY6124915,hc10:7368,1
1280.11717,Staphylococcus aureus strain 3688STDY6124924,hc10:6720,1
1280.11719,Staphylococcus aureus strain 3688STDY6124954,hc10:7370,1
1280.11721,Staphylococcus aureus strain 3688STDY6124993,hc10:6721,1
1280.11722,Staphylococcus aureus strain 3688STDY6124830,hc10:7051,1
1280.11723,Staphylococcus aureus strain 3688STDY6124887,hc10:7052,1
1280.11725,Staphylococcus aureus strain 3688STDY6124959,hc10:7372,1
1280.15865,Staphylococcus aureus strain N32_250215,hc10:5606,1
1280.15866,Staphylococcus aureus strain HCW11A_151214,hc10:5607,1
1280.15867,Staphylococcus aureus strain N36_040315,hc10:5347,1
1280.15868,Staphylococcus aureus strain N38_040315,hc10:5608,1
1280.15869,Staphylococcus aureus strain W22_020215,hc10:5814,1
1280.15870,Staphylococcus aureus strain HCW24_100415,hc10:5348,1
1280.15871,Staphylococcus aureus strain HCW01_170215,hc10:5609,1
1280.15872,Staphylococcus aureus strain W27_050315,hc10:20417,1
1280.15873,Staphylococcus aureus strain N37_040315,hc10:5815,1
1280.15874,Staphylococcus aureus strain N46_140415,hc10:5610,2
1280.15875,Staphylococcus aureus strain HCW05_100415,hc10:5816,1
1280.15876,Staphylococcus aureus strain HCW07_130215,hc10:5611,1
1280.15878,Staphylococcus aureus strain W24A_090215,hc10:5613,1
1280.15880,Staphylococcus aureus strain B21_100115,hc10:5614,4
1280.15883,Staphylococcus aureus strain N31_250215,hc10:5616,1
1280.15886,Staphylococcus aureus strain N13A_311214,hc10:5617,3
1280.15887,Staphylococcus aureus strain N04_011214,hc10:5820,1
1280.15888,Staphylococcus aureus strain N12_291214,hc10:5618,1
1280.15889,Staphylococcus aureus strain W01A_051214,hc10:5821,2
1280.15893,Staphylococcus aureus strain N57_130515,hc10:5825,1
1280.15894,Staphylococcus aureus strain W35_120315,hc10:5619,3
1280.15895,Staphylococcus aureus strain B58_200515,hc10:5826,1
1280.15896,Staphylococcus aureus strain HCW05_140115,hc10:5620,2
1280.15897,Staphylococcus aureus strain HCW23_100415,hc10:5621,1
1280.15899,Staphylococcus aureus strain W35_170415,hc10:5349,2
1280.15900,Staphylococcus aureus strain W46_140415,hc10:5623,1
1280.15901,Staphylococcus aureus strain N62_270515,hc10:5818,8
1280.15902,Staphylococcus aureus strain W47_060515,hc10:5622,2
1280.15903,Staphylococcus aureus strain W49_290415,hc10:5624,1
1280.15905,Staphylococcus aureus strain W57_130515,hc10:5829,1
1280.15906,Staphylococcus aureus strain W58_190515,hc10:5830,2
1280.15908,Staphylococcus aureus strain W54_110515,hc10:5832,2
1280.15912,Staphylococcus aureus strain B28_120215,hc10:5834,1
1280.15913,Staphylococcus aureus strain N34_260215,hc10:5351,1
1280.15914,Staphylococcus aureus strain N35_260215,hc10:5352,1
1280.15919,Staphylococcus aureus strain HCW21B_160215,hc10:5630,1
1280.15920,Staphylococcus aureus strain B26A_160215,hc10:5631,1
1280.15921,Staphylococcus aureus strain W24B_090215,hc10:5632,1
1280.15923,Staphylococcus aureus strain B26B_160215,hc10:5838,1
1280.15924,Staphylococcus aureus strain W08B_161214,hc10:5836,2
1280.15927,Staphylococcus aureus strain W31_250215,hc10:5841,1
1280.15929,Staphylococcus aureus strain HCW21A_160215,hc10:5843,1
1280.15930,Staphylococcus aureus strain 13C,hc10:3110,1
1280.15931,Staphylococcus aureus strain LAC,hc10:1843,1
1280.15938,Staphylococcus aureus strain 0780-1302-2015,hc10:5353,1
1280.15939,Staphylococcus aureus strain 0345-2701-2015,hc10:5634,1
1280.16051,Staphylococcus aureus strain 1014-2602-2015,hc10:5354,1
1280.16052,Staphylococcus aureus strain 0908-2002-2015,hc10:5635,1
1280.16061,Staphylococcus aureus strain AR466,hc10:20684,1
1280.16384,Staphylococcus aureus strain AR462,hc10:20686,1
1280.16385,Staphylococcus aureus strain AR464,hc10:20687,1
1280.16386,Staphylococcus aureus strain AR461,hc10:20688,1
1280.16387,Staphylococcus aureus strain AR465,hc10:20689,2
1280.16436,Staphylococcus aureus strain 0257-2201-2015,hc10:5670,1
1280.16548,Staphylococcus aureus strain AR_0472,hc10:20949,1
1280.16549,Staphylococcus aureus strain AR_0223,hc10:20950,1
1280.16550,Staphylococcus aureus strain AR_0219,hc10:20695,1
1280.16551,Staphylococcus aureus strain AR_0216,hc10:20696,1
1280.16552,Staphylococcus aureus strain AR_0470,hc10:20697,1
1280.16553,Staphylococcus aureus strain AR_0471,hc10:20698,1
1280.16554,Staphylococcus aureus strain AR_0473,hc10:20699,1
1280.16555,Staphylococcus aureus strain AR_0467,hc10:20951,1
1280.16556,Staphylococcus aureus strain AR_0225,hc10:20700,1
1280.16557,Staphylococcus aureus strain AR_0469,hc10:20701,1
1280.16558,Staphylococcus aureus strain AR_0215,hc10:20702,1
1280.16566,Staphylococcus aureus strain AR_0226,hc10:20704,1
1280.16568,Staphylococcus aureus strain AR_0228,hc10:20706,1
1280.16569,Staphylococcus aureus strain AR_0222,hc10:20707,1
1280.16570,Staphylococcus aureus strain AR_0220,hc10:20708,1
1280.16759,Staphylococcus aureus strain AR_0227,hc10:4258,1
1280.16760,Staphylococcus aureus strain AR_0224,hc10:3625,1
1280.16761,Staphylococcus aureus strain AR_0221,hc10:3007,1
1280.16762,Staphylococcus aureus strain AR_0218,hc10:4259,1
1280.16763,Staphylococcus aureus strain 0943-1505-2016,hc10:5364,1
1280.16768,Staphylococcus aureus strain AR_475,hc10:20709,1
1280.16771,Staphylococcus aureus strain YK046,hc10:17749,1
1280.16772,Staphylococcus aureus strain YI040,hc10:17750,1
1280.16773,Staphylococcus aureus strain YH030,hc10:15688,1
1280.16774,Staphylococcus aureus strain YH022,hc10:17751,1
1280.16775,Staphylococcus aureus strain YG029,hc10:17752,1
1280.16776,Staphylococcus aureus strain YF037,hc10:17753,1
1280.16805,Staphylococcus aureus strain YF012,nogroup:1280.16805,1
1280.16836,Staphylococcus aureus strain AL008,hc10:6118,1
1280.16838,Staphylococcus aureus strain AK046,hc10:17754,1
1280.16839,Staphylococcus aureus strain AD057,hc10:15194,1
1280.16841,Staphylococcus aureus strain AC045,hc10:17756,1
1280.16858,Staphylococcus aureus strain AL048,hc10:15197,1
1280.16859,Staphylococcus aureus strain AK017,hc10:17757,1
1280.16860,Staphylococcus aureus strain AH027,hc10:17758,1
1280.16861,Staphylococcus aureus strain AH022,hc10:6119,1
1280.16862,Staphylococcus aureus strain AH018,hc10:17759,1
1280.16863,Staphylococcus aureus strain AG037,hc10:17760,1
1280.16864,Staphylococcus aureus strain AF012,hc10:15198,1
1280.16865,Staphylococcus aureus strain AD016,hc10:17755,2
1280.17656,Staphylococcus aureus strain AR_0476,hc10:3626,1
1280.17671,Staphylococcus aureus strain AR_474,hc10:20716,1
1280.19784,Staphylococcus aureus strain 181,hc10:5389,1
1280.19785,Staphylococcus aureus strain 302,hc10:5695,1
1280.19786,Staphylococcus aureus strain FDA-CDC-AR_0217,hc10:3323,1
1280.19787,Staphylococcus aureus strain TCH1516,nogroup:1280.19787,1
1280.19788,Staphylococcus aureus strain TCH1516,hc10:14469,1
1280.19789,Staphylococcus aureus strain TCH1516,hc10:14470,1
1280.19790,Staphylococcus aureus strain TCH1516,nogroup:1280.19790,1
1280.19791,Staphylococcus aureus strain TCH1516,nogroup:1280.19791,1
1280.19792,Staphylococcus aureus strain TCH1516,nogroup:1280.19792,1
1280.19793,Staphylococcus aureus strain TCH1516,hc10:14471,1
1280.21073,Staphylococcus aureus strain 0537-0302-2015,hc10:5696,1
1280.21074,Staphylococcus aureus strain 0137-2003-2005,hc10:5390,1
1280.21075,Staphylococcus aureus strain 0141-0204-2007,hc10:5391,1
1280.22660,Staphylococcus aureus strain KG-03,hc10:21934,1
1280.22661,Staphylococcus aureus strain KG-18,hc10:4502,1
1280.22662,Staphylococcus aureus strain KG-22,hc10:18357,1
1280.24755,Staphylococcus aureus strain 12483_8_74,hc10:17821,1
1280.24756,Staphylococcus aureus strain 12483_8_17,hc10:17822,1
1280.24757,Staphylococcus aureus strain 12625_1_17,hc10:17823,1
1280.24759,Staphylococcus aureus strain 12483_8_71,hc10:17825,1
1280.24760,Staphylococcus aureus strain 12625_1_23,hc10:17826,1
1280.24761,Staphylococcus aureus strain 12625_1_22,hc10:17827,1
1280.24762,Staphylococcus aureus strain 12483_8_73,hc10:18071,1
1280.24763,Staphylococcus aureus strain 12483_8_69,hc10:18072,1
1280.24764,Staphylococcus aureus strain 12483_8_61,hc10:18073,1
1280.24765,Staphylococcus aureus strain 12625_1_24,hc10:18074,1
1280.24767,Staphylococcus aureus strain 12483_8_47,hc10:18075,2
1280.24768,Staphylococcus aureus strain 12483_8_21,hc10:18077,2
1280.24769,Staphylococcus aureus strain 12483_8_78,hc10:18078,2
1280.24770,Staphylococcus aureus strain 12483_8_30,hc10:18079,1
1280.24771,Staphylococcus aureus strain 12483_8_45,hc10:18080,1
1280.24772,Staphylococcus aureus strain 12483_8_31,hc10:18081,1
1280.24773,Staphylococcus aureus strain 12625_1_13,hc10:18082,1
1280.24774,Staphylococcus aureus strain 12483_8_68,hc10:18083,1
1280.24776,Staphylococcus aureus strain 12625_1_26,hc10:18085,1
1280.24778,Staphylococcus aureus strain 12673_8_85,hc10:17828,1
1280.24779,Staphylococcus aureus strain 12483_8_19,hc10:17829,1
1280.24780,Staphylococcus aureus strain 12483_8_77,hc10:17830,1
1280.24781,Staphylococcus aureus strain 12625_1_11,hc10:17831,1
1280.24782,Staphylococcus aureus strain 12625_1_8,hc10:17832,1
1280.24784,Staphylococcus aureus strain 12483_8_49,hc10:17834,1
1280.24785,Staphylococcus aureus strain 12625_1_29,hc10:17835,1
1280.24786,Staphylococcus aureus strain 12483_8_35,hc10:17836,1
1280.24787,Staphylococcus aureus strain 12625_1_9,hc10:17837,1
1280.24788,Staphylococcus aureus strain 12483_8_58,hc10:17838,1
1280.24789,Staphylococcus aureus strain 12483_8_75,hc10:17839,1
1280.24790,Staphylococcus aureus strain 12483_8_24,hc10:17840,1
1280.24791,Staphylococcus aureus strain 12483_8_25,hc10:17841,1
1280.24792,Staphylococcus aureus strain 12625_1_10,hc10:17842,1
1280.24793,Staphylococcus aureus strain 12673_8_86,hc10:17843,1
1280.24794,Staphylococcus aureus strain 12483_8_65,hc10:17844,1
1280.24795,Staphylococcus aureus strain 12673_8_87,hc10:17845,2
1280.24796,Staphylococcus aureus strain 12625_1_5,hc10:17846,1
1280.24797,Staphylococcus aureus strain 12483_8_87,hc10:17824,2
1280.24799,Staphylococcus aureus strain 12483_8_88,hc10:17849,1
1280.24801,Staphylococcus aureus strain 12483_8_2,hc10:17851,1
1280.24802,Staphylococcus aureus strain 12483_8_83,hc10:17852,1
1280.24803,Staphylococcus aureus strain 12673_8_88,hc10:17853,1
1280.24804,Staphylococcus aureus strain 12483_8_52,hc10:17854,1
1280.24805,Staphylococcus aureus strain 12483_8_28,hc10:17855,1
1280.24806,Staphylococcus aureus strain 12625_1_14,hc10:17848,2
1280.24807,Staphylococcus aureus strain 12625_1_3,hc10:17857,1
1280.24808,Staphylococcus aureus strain 12625_1_27,hc10:17858,1
1280.24809,Staphylococcus aureus strain 12483_8_16,hc10:17859,1
1280.24810,Staphylococcus aureus strain 12483_8_55,hc10:18087,1
1280.24811,Staphylococcus aureus strain 12483_8_51,hc10:18088,1
1280.24812,Staphylococcus aureus strain 12483_8_4,hc10:18089,1
1280.24814,Staphylococcus aureus strain 12483_8_32,hc10:18091,1
1280.24815,Staphylococcus aureus strain 12483_8_54,hc10:18092,1
1280.24816,Staphylococcus aureus strain 12483_8_92,hc10:18093,1
1280.24817,Staphylococcus aureus strain 12483_8_95,hc10:18094,1
1280.24818,Staphylococcus aureus strain 12483_8_59,hc10:18095,1
1280.24819,Staphylococcus aureus strain 12483_8_1,hc10:18096,1
1280.24820,Staphylococcus aureus strain 12483_8_11,hc10:18097,1
1280.24821,Staphylococcus aureus strain 12625_1_15,hc10:18098,1
1280.24822,Staphylococcus aureus strain 12625_1_2,hc10:18099,1
1280.24823,Staphylococcus aureus strain 12483_8_41,hc10:18100,2
1280.24825,Staphylococcus aureus strain 12483_8_60,hc10:18102,1
1280.24827,Staphylococcus aureus strain 12483_8_15,hc10:18104,1
1280.24828,Staphylococcus aureus strain 12483_8_7,hc10:18105,1
1280.24829,Staphylococcus aureus strain 12625_1_4,hc10:18391,1
1280.24830,Staphylococcus aureus strain 12483_8_66,hc10:18392,2
1280.24831,Staphylococcus aureus strain 12483_8_80,hc10:18393,1
1280.24832,Staphylococcus aureus strain 12483_8_53,hc10:18394,1
1280.24833,Staphylococcus aureus strain 12483_8_90,hc10:18395,2
1280.24834,Staphylococcus aureus strain 12625_1_1,hc10:18396,1
1280.24835,Staphylococcus aureus strain 12483_8_34,hc10:17860,1
1280.24836,Staphylococcus aureus strain 12483_8_86,hc10:17861,1
1280.24837,Staphylococcus aureus strain 12483_8_9,hc10:17862,2
1280.24838,Staphylococcus aureus strain 12483_8_63,hc10:17863,1
1280.24839,Staphylococcus aureus strain 12483_8_14,hc10:18397,1
1280.24840,Staphylococcus aureus strain 12483_8_79,hc10:18398,1
1280.24842,Staphylococcus aureus strain 12483_8_82,hc10:18400,1
1280.24843,Staphylococcus aureus strain 12483_8_29,hc10:18401,1
1280.24844,Staphylococcus aureus strain 12483_8_57,hc10:18402,1
1280.24845,Staphylococcus aureus strain 12483_8_38,hc10:18403,1
1280.24846,Staphylococcus aureus strain 12483_8_42,hc10:18404,1
1280.24847,Staphylococcus aureus strain 12483_8_36,hc10:18405,1
1280.24848,Staphylococcus aureus strain 12483_8_67,hc10:18406,1
1280.24849,Staphylococcus aureus strain 12625_1_28,hc10:18407,1
1280.24850,Staphylococcus aureus strain 12483_8_50,hc10:18408,1
1280.24851,Staphylococcus aureus strain 12483_8_89,hc10:18409,1
1280.24852,Staphylococcus aureus strain 12755_8_68,hc10:18410,1
1280.24855,Staphylococcus aureus strain 12483_8_84,hc10:18413,1
