genome_id,genome_name,antibiotic,label
1280.10016,Staphylococcus aureus C00013332,tetracycline,Susceptible
1280.10021,Staphylococcus aureus C00013342,ciprofloxacin,Susceptible
1280.10021,Staphylococcus aureus C00013342,erythromycin,Susceptible
1280.10021,Staphylococcus aureus C00013342,gentamicin,Susceptible
1280.10021,Staphylococcus aureus C00013342,tetracycline,Susceptible
1280.10022,Staphylococcus aureus C00013343,ciprofloxacin,Susceptible
1280.10022,Staphylococcus aureus C00013343,erythromycin,Susceptible
1280.10022,Staphylococcus aureus C00013343,gentamicin,Susceptible
1280.10022,Staphylococcus aureus C00013343,tetracycline,Susceptible
1280.10035,Staphylococcus aureus C00013376,ciprofloxacin,Resistant
1280.10035,Staphylococcus aureus C00013376,erythromycin,Susceptible
1280.10035,Staphylococcus aureus C00013376,gentamicin,Susceptible
1280.10035,Staphylococcus aureus C00013376,tetracycline,Susceptible
1280.10036,Staphylococcus aureus C00013377,ciprofloxacin,Susceptible
1280.10036,Staphylococcus aureus C00013377,erythromycin,Susceptible
1280.10036,Staphylococcus aureus C00013377,gentamicin,Susceptible
1280.10036,Staphylococcus aureus C00013377,tetracycline,Susceptible
1280.10045,Staphylococcus aureus C00013396,ciprofloxacin,Susceptible
1280.10045,Staphylococcus aureus C00013396,erythromycin,Susceptible
1280.10045,Staphylococcus aureus C00013396,gentamicin,Susceptible
1280.10045,Staphylococcus aureus C00013396,tetracycline,Resistant
1280.10047,Staphylococcus aureus C00013404,ciprofloxacin,Susceptible
1280.10047,Staphylococcus aureus C00013404,erythromycin,Susceptible
1280.10047,Staphylococcus aureus C00013404,gentamicin,Susceptible
1280.10047,Staphylococcus aureus C00013404,tetracycline,Susceptible
1280.10048,Staphylococcus aureus C00013406,ciprofloxacin,Susceptible
1280.10048,Staphylococcus aureus C00013406,erythromycin,Susceptible
1280.10048,Staphylococcus aureus C00013406,gentamicin,Susceptible
1280.10048,Staphylococcus aureus C00013406,tetracycline,Susceptible
1280.10994,Staphylococcus aureus strain 3688STDY6124848,clindamycin,Susceptible
1280.10994,Staphylococcus aureus strain 3688STDY6124848,erythromycin,Susceptible
1280.10994,Staphylococcus aureus strain 3688STDY6124848,gentamicin,Susceptible
1280.11031,Staphylococcus aureus strain 3688STDY6124929,clindamycin,Susceptible
1280.11031,Staphylococcus aureus strain 3688STDY6124929,erythromycin,Susceptible
1280.11031,Staphylococcus aureus strain 3688STDY6124929,gentamicin,Susceptible
1280.11050,Staphylococcus aureus strain 3688STDY6124879,clindamycin,Resistant
1280.11050,Staphylococcus aureus strain 3688STDY6124879,erythromycin,Resistant
1280.11050,Staphylococcus aureus strain 3688STDY6124879,gentamicin,Susceptible
1280.11150,Staphylococcus aureus strain 3688STDY6125057,clindamycin,Susceptible
1280.11150,Staphylococcus aureus strain 3688STDY6125057,erythromycin,Susceptible
1280.11150,Staphylococcus aureus strain 3688STDY6125057,gentamicin,Susceptible
1280.11151,Staphylococcus aureus strain 3688STDY6125107,clindamycin,Susceptible
1280.11151,Staphylococcus aureus strain 3688STDY6125107,erythromycin,Susceptible
1280.11151,Staphylococcus aureus strain 3688STDY6125107,gentamicin,Susceptible
1280.11167,Staphylococcus aureus strain 3688STDY6124893,clindamycin,Susceptible
1280.11167,Staphylococcus aureus strain 3688STDY6124893,erythromycin,Susceptible
1280.11167,Staphylococcus aureus strain 3688STDY6124893,gentamicin,Susceptible
1280.11168,Staphylococcus aureus strain 3688STDY6124892,clindamycin,Susceptible
1280.11168,Staphylococcus aureus strain 3688STDY6124892,erythromycin,Susceptible
1280.11168,Staphylococcus aureus strain 3688STDY6124892,gentamicin,Susceptible
1280.11173,Staphylococcus aureus strain 3688STDY6124871,clindamycin,Susceptible
1280.11173,Staphylococcus aureus strain 3688STDY6124871,erythromycin,Susceptible
1280.11173,Staphylococcus aureus strain 3688STDY6124871,gentamicin,Susceptible
1280.11178,Staphylococcus aureus strain 3688STDY6124846,clindamycin,Susceptible
1280.11178,Staphylococcus aureus strain 3688STDY6124846,erythromycin,Susceptible
1280.11178,Staphylococcus aureus strain 3688STDY6124846,gentamicin,Susceptible
1280.11182,Staphylococcus aureus strain 3688STDY6124822,clindamycin,Resistant
1280.11182,Staphylococcus aureus strain 3688STDY6124822,erythromycin,Resistant
1280.11182,Staphylococcus aureus strain 3688STDY6124822,gentamicin,Susceptible
1280.11183,Staphylococcus aureus strain 3688STDY6124816,clindamycin,Susceptible
1280.11183,Staphylococcus aureus strain 3688STDY6124816,erythromycin,Susceptible
1280.11183,Staphylococcus aureus strain 3688STDY6124816,gentamicin,Susceptible
1280.11189,Staphylococcus aureus strain 3688STDY6125021,clindamycin,Susceptible
1280.11189,Staphylococcus aureus strain 3688STDY6125021,erythromycin,Susceptible
1280.11189,Staphylococcus aureus strain 3688STDY6125021,gentamicin,Susceptible
1280.11192,Staphylococcus aureus strain 3688STDY6124994,clindamycin,Susceptible
1280.11192,Staphylococcus aureus strain 3688STDY6124994,erythromycin,Susceptible
1280.11192,Staphylococcus aureus strain 3688STDY6124994,gentamicin,Susceptible
1280.11193,Staphylococcus aureus strain 3688STDY6124991,clindamycin,Susceptible
1280.11193,Staphylococcus aureus strain 3688STDY6124991,erythromycin,Susceptible
1280.11193,Staphylococcus aureus strain 3688STDY6124991,gentamicin,Susceptible
1280.11198,Staphylococcus aureus strain 3688STDY6124969,clindamycin,Susceptible
1280.11198,Staphylococcus aureus strain 3688STDY6124969,erythromycin,Susceptible
1280.11198,Staphylococcus aureus strain 3688STDY6124969,gentamicin,Susceptible
1280.11206,Staphylococcus aureus strain 3688STDY6125052,clindamycin,Susceptible
1280.11206,Staphylococcus aureus strain 3688STDY6125052,erythromycin,Susceptible
1280.11206,Staphylococcus aureus strain 3688STDY6125052,gentamicin,Susceptible
1280.11216,Staphylococcus aureus strain 3688STDY6124952,clindamycin,Susceptible
1280.11216,Staphylococcus aureus strain 3688STDY6124952,erythromycin,Susceptible
1280.11216,Staphylococcus aureus strain 3688STDY6124952,gentamicin,Susceptible
1280.11217,Staphylococcus aureus strain 3688STDY6124947,clindamycin,Susceptible
1280.11217,Staphylococcus aureus strain 3688STDY6124947,erythromycin,Susceptible
1280.11217,Staphylococcus aureus strain 3688STDY6124947,gentamicin,Susceptible
1280.11231,Staphylococcus aureus strain 3688STDY6124916,clindamycin,Susceptible
1280.11231,Staphylococcus aureus strain 3688STDY6124916,erythromycin,Susceptible
1280.11231,Staphylococcus aureus strain 3688STDY6124916,gentamicin,Susceptible
1280.11233,Staphylococcus aureus strain 3688STDY6124875,clindamycin,Susceptible
1280.11233,Staphylococcus aureus strain 3688STDY6124875,erythromycin,Susceptible
1280.11233,Staphylococcus aureus strain 3688STDY6124875,gentamicin,Susceptible
1280.11236,Staphylococcus aureus strain 3688STDY6124906,clindamycin,Susceptible
1280.11236,Staphylococcus aureus strain 3688STDY6124906,erythromycin,Susceptible
1280.11236,Staphylococcus aureus strain 3688STDY6124906,gentamicin,Susceptible
1280.11238,Staphylococcus aureus strain 3688STDY6124904,clindamycin,Susceptible
1280.11238,Staphylococcus aureus strain 3688STDY6124904,erythromycin,Susceptible
1280.11238,Staphylococcus aureus strain 3688STDY6124904,gentamicin,Susceptible
1280.11239,Staphylococcus aureus strain 3688STDY6124903,clindamycin,Susceptible
1280.11239,Staphylococcus aureus strain 3688STDY6124903,erythromycin,Susceptible
1280.11239,Staphylococcus aureus strain 3688STDY6124903,gentamicin,Susceptible
1280.11245,Staphylococcus aureus strain 3688STDY6124895,clindamycin,Susceptible
1280.11245,Staphylococcus aureus strain 3688STDY6124895,erythromycin,Susceptible
1280.11245,Staphylococcus aureus strain 3688STDY6124895,gentamicin,Susceptible
1280.11258,Staphylococcus aureus strain 3688STDY6124865,clindamycin,Susceptible
1280.11258,Staphylococcus aureus strain 3688STDY6124865,erythromycin,Susceptible
1280.11258,Staphylococcus aureus strain 3688STDY6124865,gentamicin,Susceptible
1280.11269,Staphylococcus aureus strain 3688STDY6124850,clindamycin,Susceptible
1280.11269,Staphylococcus aureus strain 3688STDY6124850,erythromycin,Susceptible
1280.11269,Staphylococcus aureus strain 3688STDY6124850,gentamicin,Susceptible
1280.11275,Staphylococcus aureus strain 3688STDY6124841,clindamycin,Susceptible
1280.11275,Staphylococcus aureus strain 3688STDY6124841,erythromycin,Susceptible
1280.11275,Staphylococcus aureus strain 3688STDY6124841,gentamicin,Susceptible
1280.11277,Staphylococcus aureus strain 3688STDY6124838,clindamycin,Susceptible
1280.11277,Staphylococcus aureus strain 3688STDY6124838,erythromycin,Susceptible
1280.11277,Staphylococcus aureus strain 3688STDY6124838,gentamicin,Susceptible
1280.11283,Staphylococcus aureus strain 3688STDY6124834,clindamycin,Susceptible
1280.11283,Staphylococcus aureus strain 3688STDY6124834,erythromycin,Susceptible
1280.11283,Staphylococcus aureus strain 3688STDY6124834,gentamicin,Susceptible
1280.11286,Staphylococcus aureus strain 3688STDY6124826,clindamycin,Susceptible
1280.11286,Staphylococcus aureus strain 3688STDY6124826,erythromycin,Susceptible
1280.11286,Staphylococcus aureus strain 3688STDY6124826,gentamicin,Susceptible
1280.11290,Staphylococcus aureus strain 3688STDY6124819,clindamycin,Susceptible
1280.11290,Staphylococcus aureus strain 3688STDY6124819,erythromycin,Susceptible
1280.11290,Staphylococcus aureus strain 3688STDY6124819,gentamicin,Susceptible
1280.11292,Staphylococcus aureus strain 3688STDY6124817,clindamycin,Resistant
1280.11292,Staphylococcus aureus strain 3688STDY6124817,erythromycin,Resistant
1280.11292,Staphylococcus aureus strain 3688STDY6124817,gentamicin,Resistant
1280.11300,Staphylococcus aureus strain 3688STDY6125045,clindamycin,Susceptible
1280.11300,Staphylococcus aureus strain 3688STDY6125045,erythromycin,Susceptible
1280.11300,Staphylococcus aureus strain 3688STDY6125045,gentamicin,Susceptible
1280.11306,Staphylococcus aureus strain 3688STDY6125038,clindamycin,Susceptible
1280.11306,Staphylococcus aureus strain 3688STDY6125038,erythromycin,Susceptible
1280.11306,Staphylococcus aureus strain 3688STDY6125038,gentamicin,Susceptible
1280.11310,Staphylococcus aureus strain 3688STDY6125033,clindamycin,Susceptible
1280.11310,Staphylococcus aureus strain 3688STDY6125033,erythromycin,Susceptible
1280.11310,Staphylococcus aureus strain 3688STDY6125033,gentamicin,Susceptible
1280.11318,Staphylococcus aureus strain 3688STDY6125023,clindamycin,Susceptible
1280.11318,Staphylococcus aureus strain 3688STDY6125023,erythromycin,Susceptible
1280.11318,Staphylococcus aureus strain 3688STDY6125023,gentamicin,Susceptible
1280.11321,Staphylococcus aureus strain 3688STDY6125020,clindamycin,Susceptible
1280.11321,Staphylococcus aureus strain 3688STDY6125020,erythromycin,Susceptible
1280.11321,Staphylococcus aureus strain 3688STDY6125020,gentamicin,Susceptible
1280.11330,Staphylococcus aureus strain 3688STDY6125010,clindamycin,Resistant
1280.11330,Staphylococcus aureus strain 3688STDY6125010,erythromycin,Resistant
1280.11330,Staphylococcus aureus strain 3688STDY6125010,gentamicin,Susceptible
1280.11333,Staphylococcus aureus strain 3688STDY6125007,clindamycin,Susceptible
1280.11333,Staphylococcus aureus strain 3688STDY6125007,erythromycin,Susceptible
1280.11333,Staphylococcus aureus strain 3688STDY6125007,gentamicin,Susceptible
1280.11334,Staphylococcus aureus strain 3688STDY6125006,clindamycin,Susceptible
1280.11334,Staphylococcus aureus strain 3688STDY6125006,erythromycin,Susceptible
1280.11334,Staphylococcus aureus strain 3688STDY6125006,gentamicin,Susceptible
1280.11335,Staphylococcus aureus strain 3688STDY6125005,clindamycin,Resistant
1280.11335,Staphylococcus aureus strain 3688STDY6125005,erythromycin,Resistant
1280.11335,Staphylococcus aureus strain 3688STDY6125005,gentamicin,Susceptible
1280.11336,Staphylococcus aureus strain 3688STDY6125001,clindamycin,Susceptible
1280.11336,Staphylococcus aureus strain 3688STDY6125001,erythromycin,Susceptible
1280.11336,Staphylococcus aureus strain 3688STDY6125001,gentamicin,Susceptible
1280.11346,Staphylococcus aureus strain 3688STDY6124962,clindamycin,Susceptible
1280.11346,Staphylococcus aureus strain 3688STDY6124962,erythromycin,Susceptible
1280.11346,Staphylococcus aureus strain 3688STDY6124962,gentamicin,Susceptible
1280.11347,Staphylococcus aureus strain 3688STDY6124988,clindamycin,Susceptible
1280.11347,Staphylococcus aureus strain 3688STDY6124988,erythromycin,Susceptible
1280.11347,Staphylococcus aureus strain 3688STDY6124988,gentamicin,Susceptible
1280.11349,Staphylococcus aureus strain 3688STDY6124984,clindamycin,Susceptible
1280.11349,Staphylococcus aureus strain 3688STDY6124984,erythromycin,Susceptible
1280.11349,Staphylococcus aureus strain 3688STDY6124984,gentamicin,Susceptible
1280.11356,Staphylococcus aureus strain 3688STDY6124977,clindamycin,Susceptible
1280.11356,Staphylococcus aureus strain 3688STDY6124977,erythromycin,Susceptible
1280.11356,Staphylococcus aureus strain 3688STDY6124977,gentamicin,Susceptible
1280.11711,Staphylococcus aureus strain 3688STDY6124902,clindamycin,Susceptible
1280.11711,Staphylococcus aureus strain 3688STDY6124902,erythromycin,Susceptible
1280.11711,Staphylococcus aureus strain 3688STDY6124902,gentamicin,Susceptible
1280.11714,Staphylococcus aureus strain 3688STDY6124914,clindamycin,Susceptible
1280.11714,Staphylococcus aureus strain 3688STDY6124914,erythromycin,Susceptible
1280.11714,Staphylococcus aureus strain 3688STDY6124914,gentamicin,Susceptible
1280.11718,Staphylococcus aureus strain 3688STDY6124953,clindamycin,Susceptible
1280.11718,Staphylococcus aureus strain 3688STDY6124953,erythromycin,Susceptible
1280.11718,Staphylococcus aureus strain 3688STDY6124953,gentamicin,Susceptible
1280.15865,Staphylococcus aureus strain N32_250215,ciprofloxacin,Susceptible
1280.15865,Staphylococcus aureus strain N32_250215,clindamycin,Susceptible
1280.15865,Staphylococcus aureus strain N32_250215,erythromycin,Susceptible
1280.15865,Staphylococcus aureus strain N32_250215,gentamicin,Susceptible
1280.15865,Staphylococcus aureus strain N32_250215,tetracycline,Susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,ciprofloxacin,Susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,clindamycin,Susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,erythromycin,Susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,gentamicin,Susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,tetracycline,Susceptible
1280.15867,Staphylococcus aureus strain N36_040315,ciprofloxacin,Susceptible
1280.15867,Staphylococcus aureus strain N36_040315,clindamycin,Susceptible
1280.15867,Staphylococcus aureus strain N36_040315,erythromycin,Susceptible
1280.15867,Staphylococcus aureus strain N36_040315,gentamicin,Susceptible
1280.15867,Staphylococcus aureus strain N36_040315,tetracycline,Resistant
1280.15868,Staphylococcus aureus strain N38_040315,ciprofloxacin,Susceptible
1280.15868,Staphylococcus aureus strain N38_040315,clindamycin,Susceptible
1280.15868,Staphylococcus aureus strain N38_040315,erythromycin,Susceptible
1280.15868,Staphylococcus aureus strain N38_040315,gentamicin,Susceptible
1280.15868,Staphylococcus aureus strain N38_040315,tetracycline,Susceptible
1280.15869,Staphylococcus aureus strain W22_020215,ciprofloxacin,Susceptible
1280.15869,Staphylococcus aureus strain W22_020215,clindamycin,Susceptible
1280.15869,Staphylococcus aureus strain W22_020215,erythromycin,Susceptible
1280.15869,Staphylococcus aureus strain W22_020215,gentamicin,Susceptible
1280.15869,Staphylococcus aureus strain W22_020215,tetracycline,Resistant
1280.15870,Staphylococcus aureus strain HCW24_100415,ciprofloxacin,Susceptible
1280.15870,Staphylococcus aureus strain HCW24_100415,clindamycin,Susceptible
1280.15870,Staphylococcus aureus strain HCW24_100415,erythromycin,Susceptible
1280.15870,Staphylococcus aureus strain HCW24_100415,gentamicin,Susceptible
1280.15870,Staphylococcus aureus strain HCW24_100415,tetracycline,Susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,ciprofloxacin,Susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,clindamycin,Susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,erythromycin,Susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,gentamicin,Susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,tetracycline,Susceptible
1280.15872,Staphylococcus aureus strain W27_050315,ciprofloxacin,Susceptible
1280.15872,Staphylococcus aureus strain W27_050315,clindamycin,Susceptible
1280.15872,Staphylococcus aureus strain W27_050315,erythromycin,Susceptible
1280.15872,Staphylococcus aureus strain W27_050315,gentamicin,Susceptible
1280.15872,Staphylococcus aureus strain W27_050315,tetracycline,Susceptible
1280.15873,Staphylococcus aureus strain N37_040315,ciprofloxacin,Susceptible
1280.15873,Staphylococcus aureus strain N37_040315,clindamycin,Susceptible
1280.15873,Staphylococcus aureus strain N37_040315,erythromycin,Susceptible
1280.15873,Staphylococcus aureus strain N37_040315,gentamicin,Susceptible
1280.15873,Staphylococcus aureus strain N37_040315,tetracycline,Resistant
1280.15874,Staphylococcus aureus strain N46_140415,ciprofloxacin,Susceptible
1280.15874,Staphylococcus aureus strain N46_140415,clindamycin,Susceptible
1280.15874,Staphylococcus aureus strain N46_140415,erythromycin,Susceptible
1280.15874,Staphylococcus aureus strain N46_140415,gentamicin,Susceptible
1280.15874,Staphylococcus aureus strain N46_140415,tetracycline,Susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,ciprofloxacin,Susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,clindamycin,Susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,erythromycin,Susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,gentamicin,Susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,tetracycline,Susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,ciprofloxacin,Susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,clindamycin,Susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,erythromycin,Susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,gentamicin,Susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,tetracycline,Susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,ciprofloxacin,Susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,clindamycin,Susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,erythromycin,Susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,gentamicin,Susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,tetracycline,Susceptible
1280.15878,Staphylococcus aureus strain W24A_090215,ciprofloxacin,Susceptible
1280.15878,Staphylococcus aureus strain W24A_090215,clindamycin,Susceptible
1280.15878,Staphylococcus aureus strain W24A_090215,erythromycin,Resistant
1280.15878,Staphylococcus aureus strain W24A_090215,gentamicin,Susceptible
1280.15878,Staphylococcus aureus strain W24A_090215,tetracycline,Resistant
1280.15880,Staphylococcus aureus strain B21_100115,ciprofloxacin,Resistant
1280.15880,Staphylococcus aureus strain B21_100115,clindamycin,Susceptible
1280.15880,Staphylococcus aureus strain B21_100115,erythromycin,Susceptible
1280.15880,Staphylococcus aureus strain B21_100115,gentamicin,Resistant
1280.15880,Staphylococcus aureus strain B21_100115,tetracycline,Resistant
1280.15881,Staphylococcus aureus strain N21_100115,ciprofloxacin,Resistant
1280.15881,Staphylococcus aureus strain N21_100115,clindamycin,Susceptible
1280.15881,Staphylococcus aureus strain N21_100115,erythromycin,Susceptible
1280.15881,Staphylococcus aureus strain N21_100115,gentamicin,Resistant
1280.15881,Staphylococcus aureus strain N21_100115,tetracycline,Resistant
1280.15882,Staphylococcus aureus strain N05B_191214,ciprofloxacin,Resistant
1280.15882,Staphylococcus aureus strain N05B_191214,clindamycin,Susceptible
1280.15882,Staphylococcus aureus strain N05B_191214,erythromycin,Susceptible
1280.15882,Staphylococcus aureus strain N05B_191214,gentamicin,Resistant
1280.15882,Staphylococcus aureus strain N05B_191214,tetracycline,Resistant
1280.15883,Staphylococcus aureus strain N31_250215,ciprofloxacin,Susceptible
1280.15883,Staphylococcus aureus strain N31_250215,clindamycin,Susceptible
1280.15883,Staphylococcus aureus strain N31_250215,erythromycin,Susceptible
1280.15883,Staphylococcus aureus strain N31_250215,gentamicin,Susceptible
1280.15883,Staphylococcus aureus strain N31_250215,tetracycline,Resistant
1280.15884,Staphylococcus aureus strain N05A_091214,ciprofloxacin,Resistant
1280.15884,Staphylococcus aureus strain N05A_091214,clindamycin,Susceptible
1280.15884,Staphylococcus aureus strain N05A_091214,erythromycin,Susceptible
1280.15884,Staphylococcus aureus strain N05A_091214,gentamicin,Resistant
1280.15884,Staphylococcus aureus strain N05A_091214,tetracycline,Resistant
1280.15885,Staphylococcus aureus strain N35_200515,ciprofloxacin,Resistant
1280.15885,Staphylococcus aureus strain N35_200515,clindamycin,Susceptible
1280.15885,Staphylococcus aureus strain N35_200515,erythromycin,Susceptible
1280.15885,Staphylococcus aureus strain N35_200515,gentamicin,Resistant
1280.15885,Staphylococcus aureus strain N35_200515,tetracycline,Resistant
1280.15886,Staphylococcus aureus strain N13A_311214,ciprofloxacin,Resistant
1280.15886,Staphylococcus aureus strain N13A_311214,clindamycin,Susceptible
1280.15886,Staphylococcus aureus strain N13A_311214,erythromycin,Susceptible
1280.15886,Staphylococcus aureus strain N13A_311214,gentamicin,Resistant
1280.15886,Staphylococcus aureus strain N13A_311214,tetracycline,Resistant
1280.15887,Staphylococcus aureus strain N04_011214,ciprofloxacin,Susceptible
1280.15887,Staphylococcus aureus strain N04_011214,clindamycin,Susceptible
1280.15887,Staphylococcus aureus strain N04_011214,erythromycin,Susceptible
1280.15887,Staphylococcus aureus strain N04_011214,gentamicin,Susceptible
1280.15887,Staphylococcus aureus strain N04_011214,tetracycline,Resistant
1280.15888,Staphylococcus aureus strain N12_291214,ciprofloxacin,Resistant
1280.15888,Staphylococcus aureus strain N12_291214,clindamycin,Susceptible
1280.15888,Staphylococcus aureus strain N12_291214,erythromycin,Susceptible
1280.15888,Staphylococcus aureus strain N12_291214,gentamicin,Resistant
1280.15888,Staphylococcus aureus strain N12_291214,tetracycline,Resistant
1280.15889,Staphylococcus aureus strain W01A_051214,ciprofloxacin,Resistant
1280.15889,Staphylococcus aureus strain W01A_051214,clindamycin,Susceptible
1280.15889,Staphylococcus aureus strain W01A_051214,erythromycin,Susceptible
1280.15889,Staphylococcus aureus strain W01A_051214,gentamicin,Resistant
1280.15889,Staphylococcus aureus strain W01A_051214,tetracycline,Resistant
1280.15890,Staphylococcus aureus strain N51_200515,ciprofloxacin,Resistant
1280.15890,Staphylococcus aureus strain N51_200515,clindamycin,Susceptible
1280.15890,Staphylococcus aureus strain N51_200515,erythromycin,Susceptible
1280.15890,Staphylococcus aureus strain N51_200515,gentamicin,Resistant
1280.15890,Staphylococcus aureus strain N51_200515,tetracycline,Resistant
1280.15891,Staphylococcus aureus strain N55_130515,ciprofloxacin,Resistant
1280.15891,Staphylococcus aureus strain N55_130515,clindamycin,Susceptible
1280.15891,Staphylococcus aureus strain N55_130515,erythromycin,Susceptible
1280.15891,Staphylococcus aureus strain N55_130515,gentamicin,Resistant
1280.15891,Staphylococcus aureus strain N55_130515,tetracycline,Resistant
1280.15892,Staphylococcus aureus strain HCW05_031214,ciprofloxacin,Susceptible
1280.15892,Staphylococcus aureus strain HCW05_031214,clindamycin,Susceptible
1280.15892,Staphylococcus aureus strain HCW05_031214,erythromycin,Susceptible
1280.15892,Staphylococcus aureus strain HCW05_031214,gentamicin,Susceptible
1280.15892,Staphylococcus aureus strain HCW05_031214,tetracycline,Resistant
1280.15893,Staphylococcus aureus strain N57_130515,ciprofloxacin,Susceptible
1280.15893,Staphylococcus aureus strain N57_130515,clindamycin,Susceptible
1280.15893,Staphylococcus aureus strain N57_130515,erythromycin,Susceptible
1280.15893,Staphylococcus aureus strain N57_130515,gentamicin,Susceptible
1280.15893,Staphylococcus aureus strain N57_130515,tetracycline,Susceptible
1280.15894,Staphylococcus aureus strain W35_120315,ciprofloxacin,Susceptible
1280.15894,Staphylococcus aureus strain W35_120315,clindamycin,Susceptible
1280.15894,Staphylococcus aureus strain W35_120315,erythromycin,Susceptible
1280.15894,Staphylococcus aureus strain W35_120315,gentamicin,Susceptible
1280.15894,Staphylococcus aureus strain W35_120315,tetracycline,Resistant
1280.15895,Staphylococcus aureus strain B58_200515,ciprofloxacin,Susceptible
1280.15895,Staphylococcus aureus strain B58_200515,clindamycin,Susceptible
1280.15895,Staphylococcus aureus strain B58_200515,erythromycin,Susceptible
1280.15895,Staphylococcus aureus strain B58_200515,gentamicin,Susceptible
1280.15895,Staphylococcus aureus strain B58_200515,tetracycline,Susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,ciprofloxacin,Susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,clindamycin,Susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,erythromycin,Susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,gentamicin,Susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,tetracycline,Resistant
1280.15897,Staphylococcus aureus strain HCW23_100415,ciprofloxacin,Susceptible
1280.15897,Staphylococcus aureus strain HCW23_100415,clindamycin,Susceptible
1280.15897,Staphylococcus aureus strain HCW23_100415,erythromycin,Susceptible
1280.15897,Staphylococcus aureus strain HCW23_100415,gentamicin,Susceptible
1280.15897,Staphylococcus aureus strain HCW23_100415,tetracycline,Susceptible
1280.15898,Staphylococcus aureus strain N58_190515,ciprofloxacin,Susceptible
1280.15898,Staphylococcus aureus strain N58_190515,clindamycin,Susceptible
1280.15898,Staphylococcus aureus strain N58_190515,erythromycin,Susceptible
