bioproject_accession,biosample_accession,checkm_completeness,checkm_contamination,coarse_consistency,contig_l50,contig_n50,contigs,fine_consistency,genome_id,genome_length,genome_name,genome_quality,mlst,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,assembly_accession,collection_date,genome_quality_flags
PRJEB5261,SAMEA2340679,100.0,0.0,100.0,3,453913,22,100.0,1280.10015,2674004,Staphylococcus aureus C00013329,Good,MLST.saureus.12,2405,2405,2405,2405,2405,2405,1051,,,
PRJEB5261,SAMEA2340682,100.0,0.0,100.0,4,264043,32,99.9,1280.10016,2749375,Staphylococcus aureus C00013332,Good,MLST.saureus.8,2706,2706,2706,2706,2706,2706,1036,,,
PRJEB5261,SAMEA2340683,100.0,0.0,100.0,7,117088,50,100.0,1280.10017,2739783,Staphylococcus aureus C00013333,Good,MLST.saureus.59,1501,1501,1501,1501,1501,1501,71,,,
PRJEB5261,SAMEA2340684,100.0,0.0,100.0,8,124570,41,100.0,1280.10018,2745075,Staphylococcus aureus C00013334,Good,MLST.saureus.1535,899,899,899,899,899,899,2,,,
PRJEB5261,SAMEA2340685,100.0,0.0,100.0,5,181838,31,100.0,1280.10019,2795683,Staphylococcus aureus C00013335,Good,MLST.saureus.8,2707,2707,2707,2707,2707,2707,2707,,,
PRJEB5261,SAMEA2340689,99.4,0.0,100.0,7,124361,45,99.9,1280.10020,2712533,Staphylococcus aureus C00013339,Good,MLST.saureus.22,2406,2406,2406,2406,2406,2406,17,,,
PRJEB5261,SAMEA2340692,100.0,0.0,100.0,7,155358,36,100.0,1280.10021,2758207,Staphylococcus aureus C00013342,Good,MLST.saureus.5,1798,1798,1798,1798,1798,1798,1798,,,
PRJEB5261,SAMEA2340693,100.0,0.6,100.0,4,285580,37,99.9,1280.10022,2748733,Staphylococcus aureus C00013343,Good,MLST.saureus.8,3002,3002,3002,3002,3002,3002,1764,,,
PRJEB5261,SAMEA2340697,99.4,0.0,100.0,11,73112,54,99.7,1280.10023,2712679,Staphylococcus aureus C00013347,Good,MLST.saureus.22,900,900,900,900,900,900,900,,,
PRJEB5261,SAMEA2340700,100.0,0.0,99.9,6,156316,39,99.9,1280.10024,2763790,Staphylococcus aureus C00013350,Good,MLST.saureus.425,3605,3605,3605,2347,2347,2347,2347,,,
PRJEB5261,SAMEA2340701,100.0,0.0,100.0,4,285149,33,99.9,1280.10025,2752506,Staphylococcus aureus C00013351,Good,MLST.saureus.8,2407,2407,2407,2407,2407,2407,1036,,,
PRJEB5261,SAMEA2340707,100.0,1.8,100.0,7,116897,47,100.0,1280.10026,2698401,Staphylococcus aureus C00013357,Good,MLST.saureus.59,2100,2100,2100,2100,2100,2100,2100,,,
PRJEB5261,SAMEA2340708,100.0,0.0,100.0,4,287796,31,99.9,1280.10027,2753121,Staphylococcus aureus C00013358,Good,MLST.saureus.8,3606,3606,3606,2407,2407,2407,1036,,,
PRJEB5261,SAMEA2340709,100.0,0.0,100.0,7,150705,40,100.0,1280.10028,2712488,Staphylococcus aureus C00013359,Good,MLST.saureus.72,2409,2409,2409,2409,2409,2409,290,,,
PRJEB5261,SAMEA2340713,100.0,0.0,100.0,4,184643,30,99.8,1280.10029,2730313,Staphylococcus aureus C00013363,Good,MLST.saureus.45,1502,1502,1502,901,901,901,901,,,
PRJEB5261,SAMEA2340717,100.0,0.0,100.0,5,198725,30,100.0,1280.10030,2739685,Staphylococcus aureus C00013367,Good,MLST.saureus.1,2708,2708,2708,2708,2708,2056,1500,,,
PRJEB5261,SAMEA2340714,100.0,0.0,100.0,5,163150,31,99.8,1280.10031,2731957,Staphylococcus aureus C00013364,Good,MLST.saureus.45,901,901,901,901,901,901,901,,,
PRJEB5261,SAMEA2340721,100.0,0.0,100.0,9,83758,63,99.9,1280.10032,2734895,Staphylococcus aureus C00013371,Good,MLST.saureus.22,2410,2410,2410,2410,2410,2410,2410,,,
PRJEB5261,SAMEA2340723,100.0,0.0,100.0,4,190844,27,99.9,1280.10033,2699724,Staphylococcus aureus C00013373,Good,MLST.saureus.54,2411,2411,2411,2411,2411,2411,670,,,
PRJEB5261,SAMEA2340724,100.0,0.0,100.0,7,151033,45,100.0,1280.10034,2709991,Staphylococcus aureus C00013374,Good,MLST.saureus.3448,2709,2709,2709,2709,2709,1089,290,,,
PRJEB5261,SAMEA2340726,100.0,0.6,100.0,5,184563,31,100.0,1280.10035,2815429,Staphylococcus aureus C00013376,Good,MLST.saureus.1,902,902,902,902,902,902,902,,,
PRJEB5261,SAMEA2340727,100.0,0.6,99.9,7,148738,40,99.6,1280.10036,2793998,Staphylococcus aureus C00013377,Good,MLST.saureus.39,2710,2710,2710,2345,2345,2345,2345,,,
PRJEB5261,SAMEA2340732,100.0,0.0,100.0,3,313285,20,99.9,1280.10037,2756741,Staphylococcus aureus C00013382,Good,MLST.saureus.45,3607,3607,3607,3607,3607,3607,1033,,,
PRJEB5261,SAMEA2340734,100.0,1.2,100.0,8,127741,37,100.0,1280.10038,2718730,Staphylococcus aureus C00013384,Good,MLST.saureus.15,3608,3608,3608,3608,3608,899,2,,,
PRJEB5261,SAMEA2340738,100.0,0.0,99.9,7,148648,53,99.7,1280.10039,2846595,Staphylococcus aureus C00013388,Good,MLST.saureus.34,3609,3609,3609,3609,3609,3609,1378,,,
PRJEB5261,SAMEA2340740,100.0,0.0,100.0,7,126481,51,99.9,1280.10040,2702949,Staphylococcus aureus C00013390,Good,MLST.saureus.59,2711,2711,2711,2044,2044,2044,71,,,
PRJEB5261,SAMEA2340741,100.0,0.0,100.0,9,98874,49,99.8,1280.10041,2714191,Staphylococcus aureus C00013391,Good,MLST.saureus.291,3003,3003,3003,3003,3003,1071,831,,,
PRJEB5261,SAMEA2340743,100.0,0.0,100.0,5,199000,29,99.7,1280.10042,2795917,Staphylococcus aureus C00013393,Good,MLST.saureus.1,1503,1503,1503,1503,1503,1503,1503,,,
PRJEB5261,SAMEA2340744,100.0,0.0,100.0,6,168832,36,100.0,1280.10043,2710623,Staphylococcus aureus C00013394,Good,MLST.saureus.15,2712,2712,2712,2712,2712,899,2,,,
PRJEB5261,SAMEA2340745,100.0,0.0,100.0,7,150950,38,100.0,1280.10044,2748093,Staphylococcus aureus C00013395,Good,MLST.saureus.15,2412,2412,2412,2412,2412,2412,2,,,
PRJEB5261,SAMEA2340746,100.0,1.2,100.0,5,220336,40,99.9,1280.10045,2817009,Staphylococcus aureus C00013396,Good,MLST.saureus.8,3610,3610,3610,3610,3610,3610,2346,,,
PRJEB5261,SAMEA2340752,100.0,0.6,99.9,5,249985,37,99.6,1280.10046,2730822,Staphylococcus aureus C00013402,Good,MLST.saureus.88,2713,2713,2713,2713,2713,2713,2612,,,
PRJEB5261,SAMEA2340754,100.0,0.0,99.9,8,136298,48,99.7,1280.10047,2824385,Staphylococcus aureus C00013404,Good,MLST.saureus.30,1200,1200,1200,1200,1200,1200,21,,,
PRJEB5261,SAMEA2340756,100.0,0.0,100.0,4,324258,27,99.9,1280.10048,2718559,Staphylococcus aureus C00013406,Good,MLST.saureus.12,1201,1201,1201,1201,1201,1201,1051,,,
PRJEB5261,SAMEA2340758,100.0,0.0,100.0,4,225852,27,100.0,1280.10049,2721152,Staphylococcus aureus C00013408,Good,MLST.saureus.3446,3611,3611,3611,3611,3611,1038,1038,,,
PRJEB9575,SAMEA3448981,100.0,0.0,100.0,2,419998,29,100.0,1280.10948,2825564,Staphylococcus aureus strain 3688STDY6124971,Good,MLST.saureus.1156,7269,7269,7269,7269,7269,7269,4084,GCF_900124655.1,2015,
PRJEB9575,SAMEA3448869,100.0,0.6,99.9,3,302329,64,99.5,1280.10994,2852478,Staphylococcus aureus strain 3688STDY6124848,Good,MLST.saureus.121,6966,6966,6966,6966,6966,6966,6966,GCF_900125645.1,2015,
PRJEB9575,SAMEA3448911,100.0,0.0,99.9,4,302588,30,99.6,1280.11011,2808879,Staphylococcus aureus strain 3688STDY6124900,Good,MLST.saureus.121,6651,6651,6651,6651,6651,6651,6651,GCF_900125955.1,2015,
PRJEB9575,SAMEA3448932,100.0,0.0,100.0,2,1028366,15,100.0,1280.11024,2757615,Staphylococcus aureus strain 3688STDY6124922,Good,MLST.saureus.7,6967,6967,6967,6967,6967,6967,10,GCF_900126155.1,2015,
PRJEB9575,SAMEA3448933,100.0,0.0,100.0,4,217998,35,100.0,1280.11026,2773120,Staphylococcus aureus strain 3688STDY6124923,Good,MLST.saureus.5,6968,6968,6968,6968,6968,6968,6968,GCF_900126165.1,2015,
PRJEB9575,SAMEA3448936,100.0,0.6,100.0,2,949694,15,100.0,1280.11029,2753867,Staphylococcus aureus strain 3688STDY6124926,Good,MLST.saureus.25,7270,7270,7270,7270,7270,7270,7270,GCF_900126195.1,2015,
PRJEB9575,SAMEA3448937,100.0,0.3,99.9,2,709391,24,99.7,1280.11030,2777803,Staphylococcus aureus strain 3688STDY6124927,Good,MLST.saureus.779,6652,6652,6652,6652,6652,6652,652,GCF_900126205.1,2015,
PRJEB9575,SAMEA3448939,99.4,1.2,99.9,2,952946,17,99.7,1280.11031,2727678,Staphylococcus aureus strain 3688STDY6124929,Good,MLST.saureus.944,6969,6969,6969,6969,6969,6969,6969,GCF_900126215.1,2015,
PRJEB9575,SAMEA3448940,100.0,0.0,99.9,2,698266,20,99.9,1280.11032,2786848,Staphylococcus aureus strain 3688STDY6124930,Good,MLST.saureus.88,6970,6970,6970,6970,6970,6713,6713,GCF_900126225.1,2015,
PRJEB9575,SAMEA3448941,100.0,0.0,99.9,4,302572,29,99.6,1280.11033,2795897,Staphylococcus aureus strain 3688STDY6124931,Good,MLST.saureus.121,6971,6971,6971,6971,6971,6651,6651,GCF_900126235.1,2015,
PRJEB9575,SAMEA3448943,100.0,0.0,99.9,8,148485,60,99.9,1280.11036,2975321,Staphylococcus aureus strain 3688STDY6124933,Good,MLST.saureus.239,6653,6653,6653,6653,6653,3396,1353,GCF_900126265.1,2015,
PRJEB9575,SAMEA3448944,100.0,0.0,100.0,2,672665,23,100.0,1280.11037,2789324,Staphylococcus aureus strain 3688STDY6124934,Good,MLST.saureus.97,7271,7271,7271,7271,7271,604,63,GCF_900126275.1,2015,
PRJEB9575,SAMEA3448945,100.0,0.6,99.9,4,302460,29,99.5,1280.11038,2799945,Staphylococcus aureus strain 3688STDY6124935,Good,MLST.saureus.121,6654,6654,6654,6654,6654,6654,6651,GCF_900126285.1,2015,
PRJEB9575,SAMEA3448946,100.0,0.0,99.9,4,302529,32,99.6,1280.11039,2796554,Staphylococcus aureus strain 3688STDY6124936,Good,MLST.saureus.121,6655,6655,6655,6655,6654,6654,6651,GCF_900126295.1,2015,
PRJEB9575,SAMEA3448947,100.0,0.0,100.0,2,674043,18,100.0,1280.11040,2781417,Staphylococcus aureus strain 3688STDY6124937,Good,MLST.saureus.1179,7272,7272,7272,7272,7272,604,63,GCF_900126305.1,2015,
PRJEB9575,SAMEA3448889,100.0,0.0,99.9,4,302595,29,99.6,1280.11042,2798651,Staphylococcus aureus strain 3688STDY6124878,Good,MLST.saureus.121,6972,6972,6971,6971,6971,6651,6651,GCF_900126335.1,2015,
PRJEB9575,SAMEA3448949,100.0,0.0,99.9,5,184447,33,99.6,1280.11043,2779584,Staphylococcus aureus strain 3688STDY6124939,Good,MLST.saureus.121,7273,7273,7273,7273,7273,6651,6651,GCF_900126325.1,2015,
PRJEB9575,SAMEA3448959,100.0,0.0,99.9,4,302581,29,99.6,1280.11049,2793693,Staphylococcus aureus strain 3688STDY6124949,Good,MLST.saureus.121,6656,6656,6655,6655,6654,6654,6651,GCF_900126405.1,2015,
PRJEB9575,SAMEA3448890,100.0,0.0,100.0,2,1030487,12,100.0,1280.11050,2814778,Staphylococcus aureus strain 3688STDY6124879,Good,MLST.saureus.1,6657,6657,6657,6657,6657,6657,936,GCF_900126415.1,2015,
PRJEB9575,SAMEA3448967,100.0,0.0,99.9,4,230546,31,99.6,1280.11054,2797538,Staphylococcus aureus strain 3688STDY6124957,Good,MLST.saureus.121,7274,7274,7274,7274,7274,7274,6651,GCF_900126475.1,2015,
PRJEB9575,SAMEA3448976,100.0,0.0,99.9,4,302597,30,99.6,1280.11118,2792148,Staphylococcus aureus strain 3688STDY6124966,Good,MLST.saureus.121,7275,7275,7274,7274,7274,7274,6651,GCF_900125175.1,2015,
PRJEB9575,SAMEA3449065,100.0,0.0,99.9,1,1359621,8,99.7,1280.11150,2677454,Staphylococcus aureus strain 3688STDY6125057,Good,MLST.saureus.1155,6660,6660,6660,6660,6660,6660,6660,GCF_900128375.1,2015,
PRJEB9575,SAMEA3449109,100.0,0.0,99.9,2,1034415,9,99.9,1280.11151,2717207,Staphylococcus aureus strain 3688STDY6125107,Good,MLST.saureus.1155,6979,6979,6979,6979,6979,6660,6660,GCF_900128315.1,2015,
PRJEB9575,SAMEA3449061,100.0,0.0,100.0,2,769897,16,100.0,1280.11152,2725855,Staphylococcus aureus strain 3688STDY6125053,Good,MLST.saureus.7,6661,6661,6661,6661,6661,6661,10,GCF_900128305.1,2015,
PRJEB9575,SAMEA3449105,100.0,0.0,100.0,3,313057,23,100.0,1280.11153,2754821,Staphylococcus aureus strain 3688STDY6125103,Good,MLST.saureus.1156,6980,6980,6980,6980,6980,6980,4084,GCF_900128295.1,2015,
PRJEB9575,SAMEA3449104,100.0,0.6,99.9,2,939566,32,99.7,1280.11154,2839677,Staphylococcus aureus strain 3688STDY6125102,Good,MLST.saureus.88,6981,6981,6981,6981,6981,6981,2612,GCF_900128285.1,2015,
PRJEB9575,SAMEA3449066,100.0,0.0,99.9,3,383682,28,99.6,1280.11155,2792970,Staphylococcus aureus strain 3688STDY6125058,Good,MLST.saureus.121,7278,7278,7274,7274,7274,7274,6651,GCF_900128125.1,2015,
PRJEB9575,SAMEA3448961,100.0,0.0,99.9,4,302559,32,99.6,1280.11156,2798967,Staphylococcus aureus strain 3688STDY6124951,Good,MLST.saureus.121,6662,6662,6654,6654,6654,6654,6651,GCF_900128105.1,2015,
PRJEB9575,SAMEA3448960,100.0,0.6,100.0,2,704735,14,100.0,1280.11157,2770625,Staphylococcus aureus strain 3688STDY6124950,Good,MLST.saureus.1,7279,7279,7279,7279,7279,7279,936,GCF_900128095.1,2015,
PRJEB9575,SAMEA3448958,100.0,0.6,99.9,4,230558,32,99.6,1280.11158,2799139,Staphylococcus aureus strain 3688STDY6124948,Good,MLST.saureus.121,7280,7280,7280,7274,7274,7274,6651,GCF_900128085.1,2015,
PRJEB9575,SAMEA3448950,100.0,0.0,100.0,2,988852,26,100.0,1280.11159,2814697,Staphylococcus aureus strain 3688STDY6124940,Good,MLST.saureus.1,7281,7281,7281,7281,7281,7281,7281,GCF_900128065.1,2015,
PRJEB9575,SAMEA3448938,100.0,0.6,99.9,2,940571,14,99.7,1280.11160,2715862,Staphylococcus aureus strain 3688STDY6124928,Good,MLST.saureus.88,6663,6663,6663,6663,6663,6663,2612,GCF_900128055.1,2015,
PRJEB9575,SAMEA3448887,100.0,0.0,100.0,2,1038738,13,99.9,1280.11161,2752920,Staphylococcus aureus strain 3688STDY6124876,Good,MLST.saureus.1236,6982,6982,6982,6982,6982,6982,23,GCF_900128045.1,2015,
PRJEB9575,SAMEA3448928,100.0,0.6,99.9,2,938847,15,99.6,1280.11162,2718062,Staphylococcus aureus strain 3688STDY6124918,Good,MLST.saureus.88,6664,6664,6664,6664,6664,6664,2612,GCF_900128035.1,2015,
PRJEB9575,SAMEA3448919,100.0,0.0,99.9,4,302525,29,99.6,1280.11164,2797560,Staphylococcus aureus strain 3688STDY6124909,Good,MLST.saureus.121,6983,6983,6983,6983,6971,6651,6651,GCF_900128015.1,2015,
PRJEB9575,SAMEA3448907,100.0,0.0,100.0,1,1360458,18,100.0,1280.11165,2712790,Staphylococcus aureus strain 3688STDY6124896,Good,MLST.saureus.1217,6984,6984,6984,6984,6984,6984,6667,GCF_900128005.1,2015,
PRJEB9575,SAMEA3448905,100.0,0.6,99.9,2,946436,21,99.9,1280.11166,2789271,Staphylococcus aureus strain 3688STDY6124894,Good,MLST.saureus.88,6985,6985,6985,6985,6970,6713,6713,GCF_900127995.1,2015,
PRJEB9575,SAMEA3448904,100.0,0.0,99.9,3,302565,30,99.6,1280.11167,2796744,Staphylococcus aureus strain 3688STDY6124893,Good,MLST.saureus.121,6666,6666,6655,6655,6654,6654,6651,GCF_900127985.1,2015,
PRJEB9575,SAMEA3448903,100.0,0.0,100.0,2,662581,19,99.8,1280.11168,2700621,Staphylococcus aureus strain 3688STDY6124892,Good,MLST.saureus.1217,6667,6667,6667,6667,6667,6667,6667,GCF_900127975.1,2015,
PRJEB9575,SAMEA3448902,100.0,0.0,100.0,2,671309,21,100.0,1280.11169,2781043,Staphylococcus aureus strain 3688STDY6124891,Good,MLST.saureus.97,6668,6668,6668,6668,6668,6668,63,GCF_900127965.1,2015,
PRJEB9575,SAMEA3448893,100.0,0.0,99.9,4,270657,33,99.6,1280.11170,2800846,Staphylococcus aureus strain 3688STDY6124882,Good,MLST.saureus.121,6986,6986,6986,6971,6971,6651,6651,GCF_900127945.1,2015,
PRJEB9575,SAMEA3448894,100.0,0.0,99.9,4,296459,23,99.6,1280.11171,2801580,Staphylococcus aureus strain 3688STDY6124883,Good,MLST.saureus.779,6987,6987,6987,6987,6652,6652,652,GCF_900127935.1,2015,
PRJEB9575,SAMEA3448892,100.0,0.0,99.9,4,303927,30,99.6,1280.11172,2802028,Staphylococcus aureus strain 3688STDY6124881,Good,MLST.saureus.121,6988,6988,6971,6971,6971,6651,6651,GCF_900127925.1,2015,
PRJEB9575,SAMEA3448882,100.0,0.0,99.9,2,725233,25,99.9,1280.11173,2827238,Staphylococcus aureus strain 3688STDY6124871,Good,MLST.saureus.88,6989,6989,6989,6970,6970,6713,6713,GCF_900127915.1,2015,
PRJEB9575,SAMEA3449402,100.0,1.2,99.9,3,329347,29,99.6,1280.11174,2799126,Staphylococcus aureus strain 3688STDY6124867,Good,MLST.saureus.121,6990,6990,6990,6971,6971,6651,6651,GCF_900127905.1,2015,
PRJEB9575,SAMEA3448874,100.0,0.6,100.0,2,1038784,12,100.0,1280.11175,2735970,Staphylococcus aureus strain 3688STDY6124853,Good,MLST.saureus.188,6991,6991,6991,6991,6991,6991,23,GCF_900127895.1,2015,
PRJEB9575,SAMEA3448877,100.0,0.0,99.9,4,302544,31,99.6,1280.11176,2810322,Staphylococcus aureus strain 3688STDY6124856,Good,MLST.saureus.121,6992,6992,6992,6992,6971,6651,6651,GCF_900127885.1,2015,
PRJEB9575,SAMEA3448872,100.0,0.0,99.9,2,944071,21,99.6,1280.11177,2831546,Staphylococcus aureus strain 3688STDY6124851,Good,MLST.saureus.1215,6669,6669,6669,6669,6669,6669,6669,GCF_900127875.1,2015,
PRJEB9575,SAMEA3448867,100.0,0.0,99.9,4,302463,30,99.6,1280.11178,2800129,Staphylococcus aureus strain 3688STDY6124846,Good,MLST.saureus.121,6670,6670,6670,6670,6654,6654,6651,GCF_900127865.1,2015,
PRJEB9575,SAMEA3448863,100.0,0.0,99.9,4,302558,32,99.6,1280.11179,2790701,Staphylococcus aureus strain 3688STDY6124842,Good,MLST.saureus.121,6671,6671,6654,6654,6654,6654,6651,GCF_900127855.1,2015,
PRJEB9575,SAMEA3448849,100.0,0.0,99.9,2,940806,18,99.9,1280.11180,2823960,Staphylococcus aureus strain 3688STDY6124828,Good,MLST.saureus.1215,6672,6672,6672,6672,6669,6669,6669,GCF_900127845.1,2015,
PRJEB9575,SAMEA3448860,100.0,0.0,100.0,1,1398960,9,100.0,1280.11181,2778553,Staphylococcus aureus strain 3688STDY6124839,Good,MLST.saureus.1,6673,6673,6673,6673,6673,6673,936,GCF_900127825.1,2015,
PRJEB9575,SAMEA3448843,100.0,0.0,100.0,5,188848,37,100.0,1280.11182,2862279,Staphylococcus aureus strain 3688STDY6124822,Good,MLST.saureus.239,6674,6674,6674,6674,6674,6674,1353,GCF_900127815.1,2015,
PRJEB9575,SAMEA3448837,100.0,0.0,100.0,1,1429277,9,99.9,1280.11183,2811123,Staphylococcus aureus strain 3688STDY6124816,Good,MLST.saureus.1,7282,7282,7282,7282,7282,7282,936,GCF_900127805.1,2015,
PRJEB9575,SAMEA3448834,100.0,0.0,100.0,2,672855,17,100.0,1280.11184,2732658,Staphylococcus aureus strain 3688STDY6124813,Good,MLST.saureus.97,6993,6993,6993,6993,6993,6993,63,GCF_900127795.1,2015,
PRJEB9575,SAMEA3449052,100.0,0.0,99.9,4,302588,31,99.6,1280.11185,2796341,Staphylococcus aureus strain 3688STDY6125044,Good,MLST.saureus.121,6675,6675,6675,6654,6654,6654,6651,GCF_900127785.1,2015,
PRJEB9575,SAMEA3449048,100.0,0.0,99.9,4,302580,30,99.6,1280.11186,2796813,Staphylococcus aureus strain 3688STDY6125040,Good,MLST.saureus.121,7283,7283,7283,7274,7274,7274,6651,GCF_900127775.1,2015,
PRJEB9575,SAMEA3449038,100.0,0.0,99.9,4,230556,32,99.6,1280.11187,2837051,Staphylococcus aureus strain 3688STDY6125030,Good,MLST.saureus.121,6994,6994,6994,6983,6971,6651,6651,GCF_900127765.1,2015,
PRJEB9575,SAMEA3449036,100.0,0.0,99.9,4,241338,31,99.6,1280.11188,2792830,Staphylococcus aureus strain 3688STDY6125028,Good,MLST.saureus.121,7284,7284,7280,7274,7274,7274,6651,GCF_900127755.1,2015,
PRJEB9575,SAMEA3449029,100.0,0.0,99.9,3,327970,24,99.6,1280.11189,2790981,Staphylococcus aureus strain 3688STDY6125021,Good,MLST.saureus.121,7285,7285,7285,7285,7274,7274,6651,GCF_900127745.1,2015,
PRJEB9575,SAMEA3449025,100.0,0.0,100.0,2,672663,18,100.0,1280.11190,2790540,Staphylococcus aureus strain 3688STDY6125017,Good,MLST.saureus.97,7286,7286,7286,7271,7271,604,63,GCF_900127735.1,2015,
PRJEB9575,SAMEA3449012,100.0,0.0,100.0,3,474289,17,100.0,1280.11191,2712931,Staphylococcus aureus strain 3688STDY6125002,Good,MLST.saureus.5,6676,6676,6676,6676,6676,6676,6676,GCF_900127725.1,2015,
PRJEB9575,SAMEA3449004,100.0,0.0,99.9,4,302841,30,99.6,1280.11192,2788066,Staphylococcus aureus strain 3688STDY6124994,Good,MLST.saureus.121,7287,7287,7274,7274,7274,7274,6651,GCF_900127715.1,2015,
PRJEB9575,SAMEA3449001,100.0,0.0,99.9,4,302617,32,99.6,1280.11193,2799915,Staphylococcus aureus strain 3688STDY6124991,Good,MLST.saureus.121,6677,6677,6654,6654,6654,6654,6651,GCF_900127705.1,2015,
PRJEB9575,SAMEA3448995,100.0,0.0,99.9,4,302525,32,99.7,1280.11194,2802783,Staphylococcus aureus strain 3688STDY6124985,Good,MLST.saureus.121,7288,7285,7285,7285,7274,7274,6651,GCF_900127685.1,2015,
PRJEB9575,SAMEA3448997,100.0,0.0,100.0,1,1441799,11,99.9,1280.11196,2824777,Staphylococcus aureus strain 3688STDY6124987,Good,MLST.saureus.1,7289,7289,7289,7289,7282,7282,936,GCF_900127665.1,2015,
PRJEB9575,SAMEA3448982,100.0,1.2,99.9,1,1903471,18,99.7,1280.11197,2757360,Staphylococcus aureus strain 3688STDY6124972,Good,MLST.saureus.88,7290,7290,7290,7290,7290,7290,2612,GCF_900127655.1,2015,
PRJEB9575,SAMEA3448979,100.0,0.0,100.0,2,550129,25,99.8,1280.11198,2714509,Staphylococcus aureus strain 3688STDY6124969,Good,MLST.saureus.1292,6679,6679,6679,6679,6679,6679,6679,GCF_900127645.1,2015,
PRJEB9575,SAMEA3448970,100.0,0.0,99.9,3,302641,34,99.6,1280.11199,2792111,Staphylococcus aureus strain 3688STDY6124960,Good,MLST.saureus.121,6680,6654,6654,6654,6654,6654,6651,GCF_900127635.1,2015,
PRJEB9575,SAMEA3449144,100.0,0.0,100.0,2,672616,16,100.0,1280.11200,2731654,Staphylococcus aureus strain 3688STDY6125142,Good,MLST.saureus.97,6995,6995,6995,6995,6993,6993,63,GCF_900127105.1,2015,
PRJEB9575,SAMEA3449064,100.0,0.0,100.0,3,287022,19,100.0,1280.11201,2740067,Staphylococcus aureus strain 3688STDY6125056,Good,MLST.saureus.97,7291,7291,7291,7291,7271,604,63,GCF_900127015.1,2015,
