genome_id,genome_name,antibiotic,drug_class,final_label,n_lab_records,pubmed_ids,laboratory_typing_method,testing_standard
1280.11196,Staphylococcus aureus strain 3688STDY6124987,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11197,Staphylococcus aureus strain 3688STDY6124972,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11198,Staphylococcus aureus strain 3688STDY6124969,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11199,Staphylococcus aureus strain 3688STDY6124960,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11200,Staphylococcus aureus strain 3688STDY6125142,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11201,Staphylococcus aureus strain 3688STDY6125056,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11202,Staphylococcus aureus strain 3688STDY6125055,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11203,Staphylococcus aureus strain 3688STDY6125054,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11204,Staphylococcus aureus strain 3688STDY6125104,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11205,Staphylococcus aureus strain 3688STDY6125101,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11206,Staphylococcus aureus strain 3688STDY6125052,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11207,Staphylococcus aureus strain 3688STDY6125051,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11208,Staphylococcus aureus strain 3688STDY6125050,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11209,Staphylococcus aureus strain 3688STDY6125060,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11210,Staphylococcus aureus strain 3688STDY6125049,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11211,Staphylococcus aureus strain 3688STDY6125059,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11212,Staphylococcus aureus strain 3688STDY6124880,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11213,Staphylococcus aureus strain 3688STDY6124958,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11214,Staphylococcus aureus strain 3688STDY6124956,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11215,Staphylococcus aureus strain 3688STDY6124955,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11216,Staphylococcus aureus strain 3688STDY6124952,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11217,Staphylococcus aureus strain 3688STDY6124947,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11218,Staphylococcus aureus strain 3688STDY6124946,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11219,Staphylococcus aureus strain 3688STDY6124945,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11220,Staphylococcus aureus strain 3688STDY6124944,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11221,Staphylococcus aureus strain 3688STDY6124943,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11222,Staphylococcus aureus strain 3688STDY6124942,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11223,Staphylococcus aureus strain 3688STDY6124938,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11224,Staphylococcus aureus strain 3688STDY6124932,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11225,Staphylococcus aureus strain 3688STDY6124877,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11226,Staphylococcus aureus strain 3688STDY6124925,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11229,Staphylococcus aureus strain 3688STDY6124921,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11230,Staphylococcus aureus strain 3688STDY6124920,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11231,Staphylococcus aureus strain 3688STDY6124916,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11232,Staphylococcus aureus strain 3688STDY6124912,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11233,Staphylococcus aureus strain 3688STDY6124875,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11234,Staphylococcus aureus strain 3688STDY6124911,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11235,Staphylococcus aureus strain 3688STDY6124910,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11236,Staphylococcus aureus strain 3688STDY6124906,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11237,Staphylococcus aureus strain 3688STDY6124905,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11238,Staphylococcus aureus strain 3688STDY6124904,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11239,Staphylococcus aureus strain 3688STDY6124903,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11241,Staphylococcus aureus strain 3688STDY6124901,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11242,Staphylococcus aureus strain 3688STDY6124874,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11243,Staphylococcus aureus strain 3688STDY6124899,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11244,Staphylococcus aureus strain 3688STDY6124897,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11245,Staphylococcus aureus strain 3688STDY6124895,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11246,Staphylococcus aureus strain 3688STDY6124873,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11248,Staphylococcus aureus strain 3688STDY6124889,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11249,Staphylococcus aureus strain 3688STDY6124888,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11250,Staphylococcus aureus strain 3688STDY6124886,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11251,Staphylococcus aureus strain 3688STDY6124885,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11252,Staphylococcus aureus strain 3688STDY6124884,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11254,Staphylococcus aureus strain 3688STDY6124870,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11255,Staphylococcus aureus strain 3688STDY6124869,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11256,Staphylococcus aureus strain 3688STDY6124868,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11257,Staphylococcus aureus strain 3688STDY6124866,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11258,Staphylococcus aureus strain 3688STDY6124865,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11259,Staphylococcus aureus strain 3688STDY6124863,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11261,Staphylococcus aureus strain 3688STDY6124861,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11262,Staphylococcus aureus strain 3688STDY6124862,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11263,Staphylococcus aureus strain 3688STDY6124860,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11264,Staphylococcus aureus strain 3688STDY6124859,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11265,Staphylococcus aureus strain 3688STDY6124858,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11266,Staphylococcus aureus strain 3688STDY6124855,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11267,Staphylococcus aureus strain 3688STDY6124854,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11268,Staphylococcus aureus strain 3688STDY6124852,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11269,Staphylococcus aureus strain 3688STDY6124850,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11270,Staphylococcus aureus strain 3688STDY6124845,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11271,Staphylococcus aureus strain 3688STDY6124849,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11272,Staphylococcus aureus strain 3688STDY6124844,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11273,Staphylococcus aureus strain 3688STDY6124847,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11274,Staphylococcus aureus strain 3688STDY6124843,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11275,Staphylococcus aureus strain 3688STDY6124841,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11276,Staphylococcus aureus strain 3688STDY6124840,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11277,Staphylococcus aureus strain 3688STDY6124838,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11278,Staphylococcus aureus strain 3688STDY6124837,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11279,Staphylococcus aureus strain 3688STDY6124835,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11280,Staphylococcus aureus strain 3688STDY6124836,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11281,Staphylococcus aureus strain 3688STDY6124833,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11282,Staphylococcus aureus strain 3688STDY6124832,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11283,Staphylococcus aureus strain 3688STDY6124834,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11284,Staphylococcus aureus strain 3688STDY6124831,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11285,Staphylococcus aureus strain 3688STDY6124829,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11286,Staphylococcus aureus strain 3688STDY6124826,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11287,Staphylococcus aureus strain 3688STDY6124825,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11288,Staphylococcus aureus strain 3688STDY6124824,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11289,Staphylococcus aureus strain 3688STDY6124820,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11290,Staphylococcus aureus strain 3688STDY6124819,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11291,Staphylococcus aureus strain 3688STDY6124818,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11292,Staphylococcus aureus strain 3688STDY6124817,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),resistant,1,26806258,,
1280.11293,Staphylococcus aureus strain 3688STDY6124815,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11294,Staphylococcus aureus strain 3688STDY6124814,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11295,Staphylococcus aureus strain 3688STDY6124812,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11296,Staphylococcus aureus strain 3688STDY6124968,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11297,Staphylococcus aureus strain 3688STDY6125048,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11298,Staphylococcus aureus strain 3688STDY6125047,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11299,Staphylococcus aureus strain 3688STDY6125046,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11300,Staphylococcus aureus strain 3688STDY6125045,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11301,Staphylococcus aureus strain 3688STDY6125043,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11302,Staphylococcus aureus strain 3688STDY6125042,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11303,Staphylococcus aureus strain 3688STDY6125041,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11304,Staphylococcus aureus strain 3688STDY6124967,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11305,Staphylococcus aureus strain 3688STDY6125039,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11306,Staphylococcus aureus strain 3688STDY6125038,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11307,Staphylococcus aureus strain 3688STDY6125037,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11308,Staphylococcus aureus strain 3688STDY6125035,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11309,Staphylococcus aureus strain 3688STDY6125034,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11310,Staphylococcus aureus strain 3688STDY6125033,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11311,Staphylococcus aureus strain 3688STDY6125032,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11312,Staphylococcus aureus strain 3688STDY6125031,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11313,Staphylococcus aureus strain 3688STDY6125027,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11314,Staphylococcus aureus strain 3688STDY6125029,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11315,Staphylococcus aureus strain 3688STDY6125025,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
1280.11316,Staphylococcus aureus strain 3688STDY6125026,cefoxitin,BETA-LACTAM (mecA/mecC surrogate marker for MRSA),susceptible,1,26806258,,
